Name,Action,Text,
[N Leatherworking Shopping List],,,Classic
[NX Leatherworking],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,
Shopping List:,Text,Shopping List:,
Light Leather x 369,Text,Light Leather x 369,
Medium Leather x 586,Text,Medium Leather x 586,
Heavy Leather x 389,Text,Heavy Leather x 389,
Thick Leather x 661,Text,Thick Leather x 661,
Rugged Leather x 340,Text,Rugged Leather x 340,
Cured Heavy Hide x 8,Text,Cured Heavy Hide x 8,
Iron Buckle x 5,Text,Iron Buckle x 5,
Turtle Scale x 112,Text,Turtle Scale x 112,
Wildvine x 4,Text,Wildvine x 4,
Cured Thick Hide x 2,Text,Cured Thick Hide x 2,
,,,TBC
,,,
,,,
,,,
,,,
,,,
,,,
,,,WOTLK
