Name,Action,Text,
[N Leatherworking],,,Classic
[NX Leatherworking Shopping List],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,
1-45 49 x Light Armor Kit,Text,1-45 49 x Light Armor Kit,
45-55 16 x Handstitched Leather Cloak,Text,45-55 16 x Handstitched Leather Cloak,
55-100 47 x Embossed Leather Gloves,Text,55-100 47 x Embossed Leather Gloves,
100-123 29 x Fine Leather Belt ,Text,100-123 29 x Fine Leather Belt ,
123-137 16 x Dark Leather Boots,Text,123-137 16 x Dark Leather Boots,
137-155 24 x Dark Leather Pants ,Text,137-155 24 x Dark Leather Pants ,
155-165 10 x Hillman's Leather Gloves ,Text,155-165 10 x Hillman's Leather Gloves ,
165-180 19 x Heavy Armor Kit,Text,165-180 19 x Heavy Armor Kit,
180-183 7 x Hillman's Leather Gloves ,Text,180-183 7 x Hillman's Leather Gloves ,
183-191 8 x Barbaric Shoulders,Text,183-191 8 x Barbaric Shoulders,
191-196 5 x Barbaric Harness,Text,191-196 5 x Barbaric Harness,
196-206 10 x Dusky Bracers,Text,196-206 10 x Dusky Bracers,
206-220 14 x Thick Armor Kit (Keep 6 for Leatherworking quest),Text,206-220 14 x Thick Armor Kit (Keep 6 for Leatherworking quest),
205-235 5 x Nightscape Headband (Keep 2 for Leatherworking quest),Text,205-235 5 x Nightscape Headband (Keep 2 for Leatherworking quest),
235-250 15x Nightscape Pants,Text,235-250 15x Nightscape Pants,
250-260 13x Nightscape Boots,Text,250-260 13x Nightscape Boots,
260 - 290 33x Wicked Leather Gauntlets,Text,260 - 290 33x Wicked Leather Gauntlets,
OR,Text,OR,
260 - 290 28x Wicked Leather Bracers,Text,260 - 290 28x Wicked Leather Bracers,
290 - 300 10x Runic Leather Headband,Text,290 - 300 10x Runic Leather Headband,
,,,
,,,
,,,
,,,TBC
,,,
,,,
,,,
,,,WOTLK
