Name,Action,XP,Class,ID,Coords,Name,NPC Name,Location,Level,Text,WowHead
[GA Alliance],,,,,,,,,,,
[N41-60DungeonGrind],,,,,,,,,,,
[NX18-41DungeonGrind],,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",
Accept: [QA707],Accept,,,707,,Ironband wants you,Prospector Ironband,Ironforge,,,
Fly to Loch Modan,Fly,,,,,,,Loch Modan,,,
Accept: [QA2500],Accept,,,2500,,Badlands Reagent Run,Ghak Healtouch,Loch Modan,,,
TurnIn: [QT707],TurnIn,,,707,,Ironband wants you,Prospector Ironband,Loch Modan,,,
Accept: [QA738],Accept,,,738,,Find Agmond,Prospector Ironband,Loch Modan,,,
Kill all Vultures & wolves from now on,Text,,,,,,,Badlands,,Kill all Vultures & wolves from now on,
Accept: [QA719],Accept,,,719,,A Dwarf and his Tools,Prospector Ryedol,Badlands,,,
Accept: [QA718],Accept,,,718,,Mirages,Sigrun Ironhew,Badlands,,,
TurnIn: [QT1106],TurnIn,,,1106,,Martek The Exiled,Martek The Exiled,Badlands,,,
Accept: [QA1108],Accept,,,1108,,Indurium,Martek The Exiled,Badlands,,,
Accept: [QA2418],Accept,,,2418,,Power Stones,Rigglefuzz,Badlands,,,
Accept: [QA703],Accept,,,703,,Barbecued Buzzard Wings,Rigglefuzz,Badlands,,,
Accept: [QA710],Accept,,,710,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
Do: [QC710],Do,,,710,,Study of the Elements: Rock,,Badlands,,,
TurnIn: [QT710],TurnIn,,,710,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
Accept: [QA711],Accept,,,711,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
Do: [QC711],Do,,,711,,Study of the Elements: Rock,,Badlands,,,
TurnIn: [QT711],TurnIn,,,711,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
Accept: [QA712],Accept,,,712,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
Do: [QC718],Do,,,718,,Mirages,,Badlands,,,
Do: [QC719],Do,,,719,,A Dwarf and his Tools,,Badlands,,,
Accept: [QA720],Accept,,,720,,A Sign of Hope,Crumpled Map,Badlands,,,
TurnIn: [QT719],TurnIn,,,719,,A Dwarf and his Tools,Prospector Ironband,Badlands,,,
TurnIn: [QT720],TurnIn,,,720,,A Sign of Hope,Prospector Ironband,Badlands,,,
Accept: [QA721],Accept,,,721,,A Sign of Hope,Prospector Ironband,Badlands,,,
TurnIn: [QT718],TurnIn,,,718,,Mirages,Sigrun Ironhew,Badlands,,,
Accept: [QA733],Accept,,,733,,Scrounging,Sigrun Ironhew,Badlands,,,
Accept: [QA732],Accept,,,732,,Tremors of the Earth,Garek,Badlands,,,
Keep an eye out for Boss Tho'grun,Text,,,,,,,Badlands,,Keep an eye out for Boss Tho'grun,
TurnIn: [QT738],TurnIn,,,738,,Find Agmond,Battered dwarven skeleton,Badlands,,,
Accept: [QA739],Accept,,,739,,Murdaloc,Battered dwarven skeleton,Badlands,,,
Do: [QC739],Do,,,739,,Murdaloc,,Badlands,,,
Do: [QC1108],Do,,,1108,,Indurium,,Badlands,,,
Accept: [QA709],Accept,,,709,,Solution to Doom,Theldurin the Lost,Badlands,,,
Do: [QC712],Do,,,712,,Study of the Elements: Rock,,Badlands,,,
Do: [QC732],Do,,,732,,Tremors of the Earth,,Badlands,,,
Do: [QC733],Do,,,733,,Scrounging,,Badlands,,,
TurnIn: [QT712],TurnIn,,,712,,Study of the Elements: Rock,Lotwil Veriatus,Badlands,,,
TurnIn: [QT703],TurnIn,,,703,,Barbecued Buzzard Wings,Rigglefuzz,Badlands,,,
TurnIn: [QT1108],TurnIn,,,1108,,Indurium,Martek The Exiled,Badlands,,,
Accept: [QA1137],Accept,,,1137,,News for Fizzle,Martek The Exiled,Badlands,,,
TurnIn: [QT732],TurnIn,,,732,,Tremors of the Earth,Garek,Badlands,,,
TurnIn: [QT733],TurnIn,,,733,,Scrounging,Sigrun Ironhew,Badlands,,,
TurnIn: [QT739],TurnIn,,,739,,Murdaloc,Prospector Ironband,Badlands,,,
Accept: [QA704],Accept,,,704,,Agmond's Fate,Prospector Ironband,Badlands,,,
TurnIn: [QT2500],TurnIn,,,2500,,Badlands Reagent Run,Ghak Healtouch,Badlands,,,
Accept: [QA17],Accept,,,17,,Uldaman Reagent Run,Ghak Healtouch,Badlands,,,
Do: [QC2418],Do,,,2418,,Powerstones,,Uldaman,,,
Do: [QC17],Do,,,17,,Uldaman Reagent Run,,Uldaman,,,
TurnIn: [QT721],TurnIn,,,721,,A sign of hope,Hammertoe Grez,Uldaman,,,
Accept: [QA722],Accept,,,722,,Amulet of secrets,Hammertoe Grez,Uldaman,,,
"Go further into Uldaman whilst keeping left, go up the small ramp and take the FIRST to the rest.The Room is "round-ish" and kill Magregan Deepshadow, down in the pit loot Ancient Chest->Go Back and take the first to the left(Area is filled with Troggs) At the end there is a chest to loot.",Text,,,,,,,Uldaman,,"Go further into Uldaman whilst keeping left, go up the small ramp and take the FIRST to the rest.The Room is "round-ish" and kill Magregan Deepshadow, down in the pit loot Ancient Chest->Go Back and take the first to the left(Area is filled with Troggs) At the end there is a chest to loot.",
Do: [QC722],Do,,,722,,Amulet of secrets,,Uldaman,,,
Do: [QC709],Do,,,709,,Solution to Doom,,Uldaman,,,
Do: [QC1360],Do,,,1360,,Reclaimed Treasures,,Uldaman,,,
TurnIn: [QT722],TurnIn,,,722,,Amulet of secrets,Hammertoe Grez,Uldaman,,,
Accept: [QA724],Accept,,,724,,Prospect of Faith,Hammertoe Grez,Uldaman,,,
"If you havent found "Shattered Necklace" yet, go into the dungeon and grind Troggs untill you do so. Run outside",Text,,,,,,,Uldaman,,"If you havent found "Shattered Necklace" yet, go into the dungeon and grind Troggs untill you do so. Run outside",
TurnIn: [QT2418],TurnIn,,,2418,,Powerstones,Rigglefuzz,Uldaman,,,
TurnIn: [QT709],TurnIn,,,709,,Solution to Doom,Theldurin the Lost,Uldaman,,,
Accept: [QA727],Accept,,,727,,To Ironforge for Yagyin's Digest,Theldurin the Lost,Uldaman,,,
TurnIn: [QT724],TurnIn,,,724,,Prospect of Faith,Prospector Ryedol,Uldaman,,,
