Name,Action,Text,
[N Leveling ShoppingList],,,Classic
[N Alchemy Shopping List],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,
The majority of Items in this List can be obtained via grinding. So take this as a "cant be asked to grind"-List,Text,The majority of Items in this List can be obtained via grinding. So take this as a "cant be asked to grind"-List,
Shopping List:,Text,Shopping List:,
"Buy [CI16645,1 Shredder Operating Manual - Page 1] [A Horde]",Text,"Buy [CI16645,1 Shredder Operating Manual - Page 1] [A Horde]",Horde
"Buy [CI16646,1 Shredder Operating Manual - Page 2] [A Horde]",Text,"Buy [CI16646,1 Shredder Operating Manual - Page 2] [A Horde]",
"Buy [CI16647,1 Shredder Operating Manual - Page 3] [A Horde]",Text,"Buy [CI16647,1 Shredder Operating Manual - Page 3] [A Horde]",
"Buy [CI16648,1 Shredder Operating Manual - Page 4] [A Horde]",Text,"Buy [CI16648,1 Shredder Operating Manual - Page 4] [A Horde]",
"Buy [CI16649,1 Shredder Operating Manual - Page 5] [A Horde]",Text,"Buy [CI16649,1 Shredder Operating Manual - Page 5] [A Horde]",
"Buy [CI16650,1 Shredder Operating Manual - Page 6] [A Horde]",Text,"Buy [CI16650,1 Shredder Operating Manual - Page 6] [A Horde]",
"Buy [CI16651,1 Shredder Operating Manual - Page 7] [A Horde]",Text,"Buy [CI16651,1 Shredder Operating Manual - Page 7] [A Horde]",
"Buy [CI16652,1 Shredder Operating Manual - Page 8] [A Horde]",Text,"Buy [CI16652,1 Shredder Operating Manual - Page 8] [A Horde]",
"Buy [CI16653,1 Shredder Operating Manual - Page 9] [A Horde]",Text,"Buy [CI16653,1 Shredder Operating Manual - Page 9] [A Horde]",
"Buy [CI16654,1 Shredder Operating Manual - Page 10] [A Horde]",Text,"Buy [CI16654,1 Shredder Operating Manual - Page 10] [A Horde]",
"Buy [CI16655,1 Shredder Operating Manual - Page 11] [A Horde]",Text,"Buy [CI16655,1 Shredder Operating Manual - Page 11] [A Horde]",
"Buy [CI16656,1 Shredder Operating Manual - Page 12] [A Horde]",Text,"Buy [CI16656,1 Shredder Operating Manual - Page 12] [A Horde]",
"Buy [CI4369,1 Deadly Blunderbuss] [A Horde]",Text,"Buy [CI4369,1 Deadly Blunderbuss] [A Horde]",
,Text,,
,Text,,
,Text,,Alliance
"Buy [CI2251,6 Gooey Spider Leg] [A Alliance]",Text,"Buy [CI2251,6 Gooey Spider Leg] [A Alliance]",
"Buy [CI4371,1 Bronze Tube] [A Alliance]",Text,"Buy [CI4371,1 Bronze Tube] [A Alliance]",
"Buy [CI1468,8 Murloc Fin] [A Alliance]",Text,"Buy [CI1468,8 Murloc Fin] [A Alliance]",
"Buy [CI2296,5 Great Goretusk Snout] [A Alliance]",Text,"Buy [CI2296,5 Great Goretusk Snout] [A Alliance]",
"Buy [CI1080,5 Tough Condor Meat] [A Alliance]",Text,"Buy [CI1080,5 Tough Condor Meat] [A Alliance]",
"Buy [CI1081,5 Crisp Spider Meat] [A Alliance]",Text,"Buy [CI1081,5 Crisp Spider Meat] [A Alliance]",
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,Both
"Buy [CI9136,30 Savage Frond]",Text,"Buy [CI9136,30 Savage Frond]",
"Buy [CI9126,30 Bone Fragments]",Text,"Buy [CI9126,30 Bone Fragments]",
"Buy [CI9125,30 Crypt Fiend Parts]",Text,"Buy [CI9125,30 Crypt Fiend Parts]",
"Buy [CI9131,30 Dark Iron Scraps]",Text,"Buy [CI9131,30 Dark Iron Scraps]",
"Buy [CI9128,30 Core of Elements]",Text,"Buy [CI9128,30 Core of Elements]",
"Buy [CI2725,1 Green Hills of Stranglethorn - Page 1]",Text,"Buy [CI2725,1 Green Hills of Stranglethorn - Page 1]",
"Buy [CI2728,1 Green Hills of Stranglethorn - Page 4]",Text,"Buy [CI2728,1 Green Hills of Stranglethorn - Page 4]",
"Buy [CI2730,1 Green Hills of Stranglethorn - Page 6]",Text,"Buy [CI2730,1 Green Hills of Stranglethorn - Page 6]",
"Buy [CI2732,1 Green Hills of Stranglethorn - Page 8]",Text,"Buy [CI2732,1 Green Hills of Stranglethorn - Page 8]",
"Buy [CI2725,1 Green Hills of Stranglethorn - Page 10]",Text,"Buy [CI2725,1 Green Hills of Stranglethorn - Page 10]",
"Buy [CI2728,1 Green Hills of Stranglethorn - Page 11]",Text,"Buy [CI2728,1 Green Hills of Stranglethorn - Page 11]",
"Buy [CI2730,1 Green Hills of Stranglethorn - Page 14]",Text,"Buy [CI2730,1 Green Hills of Stranglethorn - Page 14]",
"Buy [CI2732,1 Green Hills of Stranglethorn - Page 16]",Text,"Buy [CI2732,1 Green Hills of Stranglethorn - Page 16]",
"Buy [CI2742,1 Green Hills of Stranglethorn - Page 18]",Text,"Buy [CI2742,1 Green Hills of Stranglethorn - Page 18]",
"Buy [CI2744,1 Green Hills of Stranglethorn - Page 20]",Text,"Buy [CI2744,1 Green Hills of Stranglethorn - Page 20]",
"Buy [CI2745,1 Green Hills of Stranglethorn - Page 21]",Text,"Buy [CI2745,1 Green Hills of Stranglethorn - Page 21]",
"Buy [CI2748,1 Green Hills of Stranglethorn - Page 24]",Text,"Buy [CI2748,1 Green Hills of Stranglethorn - Page 24]",
"Buy [CI4389,1 Gyrochronatom]",Text,"Buy [CI4389,1 Gyrochronatom]",
"Buy [CI3823,1 Lesser Invisibility Potion]",Text,"Buy [CI3823,1 Lesser Invisibility Potion]",
"Buy [CI929,1 Healing Potion]",Text,"Buy [CI929,1 Healing Potion]",
"Buy [CI3829,1 Frost Oil]",Text,"Buy [CI3829,1 Frost Oil]",
"Buy [CI3404,4 Buzzard Wing]",Text,"Buy [CI3404,4 Buzzard Wing]",
"Buy [CI2868,1 Patterned Bronze Bracers]",Text,"Buy [CI2868,1 Patterned Bronze Bracers]",
"Buy [CI4306,15 Silk Cloth]",Text,"Buy [CI4306,15 Silk Cloth]",
"Buy [CI11018,20 Un'goro Soil]",Text,"Buy [CI11018,20 Un'goro Soil]",
"Buy [CI11040,10 Morrowgrain]",Text,"Buy [CI11040,10 Morrowgrain]",
"Buy [CI11186,7 Red Power Crystal]",Text,"Buy [CI11186,7 Red Power Crystal]",
"Buy [CI11184,7 Blue Power Crystal]",Text,"Buy [CI11184,7 Blue Power Crystal]",
"Buy [CI11185,7 Green Power Crystal]",Text,"Buy [CI11185,7 Green Power Crystal]",
"Buy [CI11188,7 Yellow Power Crystal]",Text,"Buy [CI11188,7 Yellow Power Crystal]",
"Buy [CI11018,5 Un'goro Soil]",Text,"Buy [CI11018,5 Un'goro Soil]",
"Buy [CI2592,300Wool Cloth]",Text,"Buy [CI2592,300Wool Cloth]",
"Buy [CI4306,300 Silk Cloth]",Text,"Buy [CI4306,300 Silk Cloth]",
,Text,,
,Text,,
,,Mageweave Cloth x 300,
,,Runecloth x 300,
