Name,Action,Text,
[N Tailoring Shopping List],,,Classic
[NX Tailoring],,,
[D ],,,
,Text,,
"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 cloth, I rounded up to 200!)",Text,"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 cloth, I rounded up to 200!)",
(200 Linen Cloth) Craft Bolt of Linen Cloth till 50,Text,(200 Linen Cloth) Craft Bolt of Linen Cloth till 50,
(20 Bolt of Linen 10 Corase Thread) Craft Brown Linen Pants till 60,Text,(20 Bolt of Linen 10 Corase Thread) Craft Brown Linen Pants till 60,
Craft 15 Reinforced Linen Capes till 75,Text,Craft 15 Reinforced Linen Capes till 75,
Craft Bolt of Woolen Cloth till 105,Text,Craft Bolt of Woolen Cloth till 105,
Craft Heavy Woolen Gloves till 115,Text,Craft Heavy Woolen Gloves till 115,
Craft Double-stitched Woolen Shoulders till 125,Text,Craft Double-stitched Woolen Shoulders till 125,
Craft Bolt of Slik Cloth till 145,Text,Craft Bolt of Slik Cloth till 145,
Craft Azure Silk Hood till 160,Text,Craft Azure Silk Hood till 160,
Craft Silk Headband till 175,Text,Craft Silk Headband till 175,
Craft Bolt of Mageweave till 185,Text,Craft Bolt of Mageweave till 185,
Craft Crimson Silk Vest till 210,Text,Craft Crimson Silk Vest till 210,
Craft Black Mageweave Leggings till 220,Text,Craft Black Mageweave Leggings till 220,
Craft Black Mageweave Gloves till 230,Text,Craft Black Mageweave Gloves till 230,
Craft Black Mageweave Shoulders till 250,Text,Craft Black Mageweave Shoulders till 250,
Craft Bolt of Runecloth till 260,Text,Craft Bolt of Runecloth till 260,
Craft Runecloth Belt till 275,Text,Craft Runecloth Belt till 275,
,,,TBC
,,,
,,,
,,,
,,,WOTLK
