Name,Action,Text,
[N Tailoring],,,Classic
[NX Alchemy],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",
"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 cloth, I rounded up to 200!)",Text,"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 cloth, I rounded up to 200!)",
[LE Tailoring 50 -] 1-50 (200 Linen Cloth) Craft Bolt of Linen Cloth,Text,[LE Tailoring 50 -] 1-50 (200 Linen Cloth) Craft Bolt of Linen Cloth,
[LE Tailoring 60 -] 50-60 (20 Bolt of Linen 10 Corase Thread) Craft Brown Linen Pants,Text,[LE Tailoring 60 -] 50-60 (20 Bolt of Linen 10 Corase Thread) Craft Brown Linen Pants,
[LE Tailoring 75 -] 60-75 Craft 15 Reinforced Linen Capes,Text,[LE Tailoring 75 -] 60-75 Craft 15 Reinforced Linen Capes,
[LE Tailoring 105 -] 75-105 Craft Bolt of Woolen Cloth,Text,[LE Tailoring 105 -] 75-105 Craft Bolt of Woolen Cloth,
[LE Tailoring 115 -] 105-115 Craft Heavy Woolen Gloves,Text,[LE Tailoring 115 -] 105-115 Craft Heavy Woolen Gloves,
[LE Tailoring 120 -] 115-125 Craft Double-stitched Woolen Shoulders,Text,[LE Tailoring 120 -] 115-125 Craft Double-stitched Woolen Shoulders,
[LE Tailoring 145 -] 125-145 Craft Bolt of Slik Cloth,Text,[LE Tailoring 145 -] 125-145 Craft Bolt of Slik Cloth,
[LE Tailoring 160 -] 145-160 Craft Azure Silk Hood,Text,[LE Tailoring 160 -] 145-160 Craft Azure Silk Hood,
[LE Tailoring 175 -] 160-175 Craft Silk Headband,Text,[LE Tailoring 175 -] 160-175 Craft Silk Headband,
[LE Tailoring 185 -] 175-185 Craft Bolt of Mageweave,Text,[LE Tailoring 185 -] 175-185 Craft Bolt of Mageweave,
[LE Tailoring 210 -] 185-210 Craft Crimson Silk Vest,Text,[LE Tailoring 210 -] 185-210 Craft Crimson Silk Vest,
[LE Tailoring 220 -] 210-220 Craft Black Mageweave Leggings,Text,[LE Tailoring 220 -] 210-220 Craft Black Mageweave Leggings,
[LE Tailoring 230 -] 220-230 Craft Black Mageweave Gloves,Text,[LE Tailoring 230 -] 220-230 Craft Black Mageweave Gloves,
[LE Tailoring 250 -] 230-250 Craft Black Mageweave Shoulders,Text,[LE Tailoring 250 -] 230-250 Craft Black Mageweave Shoulders,
[LE Tailoring 260 -] 250-260 Craft Bolt of Runecloth,Text,[LE Tailoring 260 -] 250-260 Craft Bolt of Runecloth,
[LE Tailoring 275 -] 260-275 Craft Runecloth Belt,Text,[LE Tailoring 275 -] 260-275 Craft Runecloth Belt,
,,,TBC
,,,
,,,
,,,
,,,WOTLK
