Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,
[N1-9Human TUGs Leveling Guide],,,,,,,,,,,,
"[NX9-11 Dun Morogh, Loch Modan]",,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,
"Accept: [QA783][A Warrior,Aldor]",Accept,783,Elwynn Forest,,,,"Warrior,Aldor",,https://classic.wowhead.com/quest=783,,,
Accept: [QA783][O][A Warrior],AcceptOptional,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
TurnIn: [QT783][A Warrior],TurnIn,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
TurnIn: [QT783][O][A Warrior],TurnInOptional,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Do: [QC783][A Warrior],Do,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Do(this is an optional quest!): [QC783][A Warrior],DoOptional,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
"Do(This is an OPTIONAL ELITE quest, do it if you can or find a group, if you cant->skip it): [QC783][A Warrior]",DoOptionalElite,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
"Buy: [CI2493,1 Wooden Mallet] [A Warrior]",Buy,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,2493,Wooden Mallet,1
"Collect: [CI234,6 ItemName] from LoL",Collect,,,,,,,from LoL,,234,ItemName,6
Fly to [F ][A Warrior],Fly,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Grind Nagas in this area till level [XP20 20],Grind,783,in this area,,800,20,Warrior,Nagas,https://classic.wowhead.com/quest=783,,,
Grind Nagas in this area till level [XP15][O],GrindOptional,783,in this area,,,15,Warrior,Nagas,https://classic.wowhead.com/quest=783,,,
Set your [S] to  at [G][A Warrior],Hearthstone,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Use your [H] Hearthstone.[A Warrior],UseHearthstone,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Run to [G][A Warrior],Run,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Get the [P] flightpath at: [G][A Warrior],Flightpath,783,,,,,Warrior,,https://classic.wowhead.com/quest=783,,,
Text,Text,783,,,,,Warrior,Text,https://classic.wowhead.com/quest=783,,,
[T] Get your Level 12 skills at your trainer.,Learn,,,,,12,,,,,,
