Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,
"[N56-60WPL,EPL,BS]",,,,,,,,,
[NX1-12Human TUGs Leveling Guide],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,,,,,,,,,
Accept: [QA5542],Accept,5542,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5542
Accept: [QA5544],Accept,5544,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5544
Accept: [QA5543],Accept,5543,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5543
Do the 3 quests on the side now,Text,,Eastern Plaguelands,,,,,Do the 3 quests on the side now,https://classic.wowhead.com/quest=
TurnIn: [QT5601],TurnIn,5601,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5601
Accept: [QA5149],Accept,5149,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149
Do: [QC5149],Do,5149,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149
TurnIn: [QT5149],TurnIn,5149,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149
Accept: [QA5152],Accept,5152,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5152
Accept: [QA5241],Accept,5241,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5241
TurnIn: [QT6030],TurnIn,6030,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6030
TurnIn: [QT5241],TurnIn,5241,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5241
Accept: [QA5211],Accept,5211,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5211
Accept: [QA6021],Accept,6021,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6021
Finish the 3 Tirionquests,Text,,Eastern Plaguelands,,,,,Finish the 3 Tirionquests,https://classic.wowhead.com/quest=
Do: [QC5211],Do,5211,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5211
TurnIn: [QT5542],TurnIn,5542,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5542
TurnIn: [QT5544],TurnIn,5544,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5544
TurnIn: [QT5543],TurnIn,5543,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5543
Accept: [QA5742],Accept,5742,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5742
Do: [QC5742],Do,5742,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5742
TurnIn: [QT5742],TurnIn,5742,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5742
Accept: [QA5781],Accept,5781,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5781
Do: [QC5781],Do,5781,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5781
Do: [QC6021],Do,6021,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6021
Accept: [QA6024],Accept,6024,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6024
TurnIn: [QT5781],TurnIn,5781,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5781
Accept: [QA5845],Accept,5845,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5845
TurnIn: [QT6021],TurnIn,6021,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6021
TurnIn: [QT5211],TurnIn,5211,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5211
Use your [H] Hearthstone.,UseHearthstone,,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT5223],TurnIn,5223,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5223
Accept: [QA5225],Accept,5225,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5225
TurnIn: [QT5152],TurnIn,5152,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5152
Accept: [QA5153],Accept,5153,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5153
Do: [QC5153],Do,5153,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5153
TurnIn: [QT5153],TurnIn,5153,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5153
Accept: [QA5154],Accept,5154,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5154
Accept: [QA4971],Accept,4971,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=4971
Do: [QC5154],Do,5154,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5154
Do: [QC4971],Do,4971,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=4971
TurnIn: [QT5154],TurnIn,5154,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5154
TurnIn: [QT4971],TurnIn,4971,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=4971
Accept: [QA5210],Accept,5210,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5210
Fly to [F Eastern Plaguelands],Fly,,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT5210],TurnIn,5210,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5210
Accept: [QA5181],Accept,5181,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5181
Accept: [QA5168],Accept,5168,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5168
Do: [QC5845],Do,5845,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5845
Do: [QC6024],Do,6024,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6024
TurnIn: [QT5245],TurnIn,5245,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5245
Accept: [QA5246],Accept,5246,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5246
Do: [QC5903],Do,5903,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5903
Do: [QC5181],Do,5181,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5181
Do: [QC5181],Do,5181,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5181
TurnIn: [QT6024],TurnIn,6024,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6024
TurnIn: [QT5845],TurnIn,5845,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5845
Accept: [QA5846],Accept,5846,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5846
Do: [QC5168],Do,5168,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5168
TurnIn: [QT5225],TurnIn,5225,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5225
Accept: [QA5226],Accept,5226,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5226
