Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,
"[N31-36STV,Desolace]",,,,,,,,,
[NX36-37Arathi],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,#REF!,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,
Fly to [F Stormwind City],Fly,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT335],Turnin,335,Stormwind City,,,,,,https://classic.wowhead.com/quest=335
Accept: [QA336],Accept,336,Stormwind City,,,,,,https://classic.wowhead.com/quest=336
TurnIn: [QT293],Turnin,293,Stormwind City,,,,,,https://classic.wowhead.com/quest=293
TurnIn: [QT322],Turnin,322,Stormwind City,,,,,,https://classic.wowhead.com/quest=322
Accept: [QA325],Accept,325,Stormwind City,,,,,,https://classic.wowhead.com/quest=325
TurnIn: [QT2928][O],TurninOptional,2928,Stormwind City,,,,,,https://classic.wowhead.com/quest=2928
TurnIn: [QT336],Turnin,336,Stormwind City,,,,,,https://classic.wowhead.com/quest=336
TurnIn: [QT563],TurnIn,563,Stormwind City,,,,,,https://classic.wowhead.com/quest=563
"Set your [H] to Stormwind City at [G52.8,65.4Stormwind City]",Hearthstone,,Stormwind City,"52.8,65.4",,,,,https://classic.wowhead.com/quest=
Fly to [F Westfall],Fly,,Westfall,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT325],Turnin,325,Duskwood,,,,,,https://classic.wowhead.com/quest=325
Accept: [QA55][O],AcceptOptional,55,Duskwood,,,,,,https://classic.wowhead.com/quest=55
(Whenever you can)Do: [QC55],DoOptional,55,Duskwood,,,,,,https://classic.wowhead.com/quest=55
(Whenever you can)Do: [QC228],DoOptional,228,Duskwood,,,,,,https://classic.wowhead.com/quest=228
"Run to [G7.8, 34.0Duskwood] and turn in Morbent Fel. (Sven is shown in STV for some reason here)",Text,,,,,,,"Run to [G7.8, 34.0Duskwood] and turn in Morbent Fel. (Sven is shown in STV for some reason here)",https://classic.wowhead.com/quest=
TurnIn: [QT55][O],TurninOptional,55,Duskwood,,,,,,https://classic.wowhead.com/quest=55
Accept: [QA203],Accept,203,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=203
Accept: [QA210],Accept,210,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=210
Accept: [QA583],Accept,583,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583
TurnIn: [QT583],Turnin,583,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583
Accept: [QA194],Accept,194,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=194
Accept: [QA185],Accept,185,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=185
Accept: [QA190],Accept,190,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=190
