Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,
[N49-51Un'Goro],,,,,,,,,
[NX52-53Felwood],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,#REF!,
Accept: [QA4289],Accept,4289,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4289
Accept: [QA4290],Accept,4290,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290
"Get 7 Crystals each(Blue,Green,Yellow,Red) and "A Mangled Journal" from the raptors",Text,,Un'Goro Crater,,,,,"Get 7 Crystals each(Blue,Green,Yellow,Red) and "A Mangled Journal" from the raptors",https://classic.wowhead.com/quest=
Accept: [QA3844],Accept,3844,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3844
TurnIn: [QT3844],TurnIn,3844,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3844
Accept: [QA3845],Accept,3845,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3845
Do: [QC4290],Do,4290,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290
"Grind till level 49 and 50% on plants around [G67.7,30.7Un'Goro Crater]",Text,,Un'Goro Crater,,,,,"Grind till level 49 and 50% on plants around [G67.7,30.7Un'Goro Crater]",https://classic.wowhead.com/quest=
TurnIn: [QT4290],TurnIn,4290,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290
Accept: [QA4291],Accept,4291,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291
Do: [QC4291],Do,4291,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291
TurnIn: [QT4291],TurnIn,4291,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291
Accept: [QA4292],Accept,4292,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4292
"The following quest can be hard, you could skip it untill youre back to Un'Goro again",Text,,Un'Goro Crater,,,,,"The following quest can be hard, you could skip it untill youre back to Un'Goro again",https://classic.wowhead.com/quest=
Do: [QC4292],Do,4292,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4292
Accept: [QA4243],Accept,4243,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4243
TurnIn: [QT3845],TurnIn,3845,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3845
Accept: [QA3908],Accept,3908,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3908
"Get the [P] flightpath at: [G45.2,5.8Un'Goro Crater]",Flightpath,,Un'Goro Crater,"45.2,5.8",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT3884],TurnIn,3884,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3884
Accept: [QA3881],Accept,3881,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3881
Accept: [QA3883],Accept,3883,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3883
Accept: [QA3882],Accept,3882,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3882
Accept: [QA4284],Accept,4284,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4284
TurnIn: [QT4284],TurnIn,4284,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4284
Accept: [QA4285],Accept,4285,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4285
Accept: [QA4288],Accept,4288,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4288
Accept: [QA4287],Accept,4287,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4287
Accept: [QA4501],Accept,4501,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4501
Accept: [QA4141],Accept,4141,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4141
Accept: [QA4503],Accept,4503,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4503
"Plenty of stuff to kill alongside here, so you DONT HAVE TO do them in the order here now. Do the following quests in order,ive put the KILLQUESTS after (so that you do them alongside)",Text,,Un'Goro Crater,,,,,"Plenty of stuff to kill alongside here, so you DONT HAVE TO do them in the order here now. Do the following quests in order,ive put the KILLQUESTS after (so that you do them alongside)",https://classic.wowhead.com/quest=
Do: [QC4285],Do,4285,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4285
Do: [QC4289],Do,4289,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4289
Grind till [XP50] on the flowers,Text,,Un'Goro Crater,,,,,Grind till [XP50] on the flowers,https://classic.wowhead.com/quest=
Do: [QC3881],Do,3881,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3881
Do: [QC4287],Do,4287,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4287
TurnIn: [QT4289],TurnIn,4289,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4289
TurnIn: [QT4292],TurnIn,4292,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4292
"Run to [G50.4,78.8Un'Goro Crater]",Run,,Un'Goro Crater,"50.4,78.8",,,,,https://classic.wowhead.com/quest=
"Run to [G48.7,85.2Un'Goro Crater]",Run,,Un'Goro Crater,"48.7,85.2",,,,,https://classic.wowhead.com/quest=
Do: [QC3883],Do,3883,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3883
Do: [QC3881],Do,3881,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3881
Do: [QC4288],Do,4288,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4288
Finish all kill/collect quests,Text,,Un'Goro Crater,,,,,Finish all kill/collect quests,https://classic.wowhead.com/quest=
Do: [QC4503],Do,4503,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4503
Do: [QC4141],Do,4141,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4141
Do: [QC4501],Do,4501,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4501
TurnIn: [QT4503],TurnIn,4503,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4503
TurnIn: [QT4141],TurnIn,4141,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4141
Accept: [QA4142],Accept,4142,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4142
TurnIn: [QT4501],TurnIn,4501,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4501
TurnIn: [QT3882],TurnIn,3882,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3882
TurnIn: [QT3883],TurnIn,3883,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3883
TurnIn: [QT3881],TurnIn,3881,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3881
TurnIn: [QT4285],TurnIn,4285,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4285
TurnIn: [QT4288],TurnIn,4288,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4288
TurnIn: [QT4287],TurnIn,4287,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4287
Accept: [QA4321],Accept,4321,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4321
TurnIn: [QT4321],TurnIn,4321,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4321
Grind till [XP51],Text,,Un'Goro Crater,,,,,Grind till [XP51],https://classic.wowhead.com/quest=
Use your [H] Hearthstone.,UseHearthstone,,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=
Fly to [F Stormwind City],Fly,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
Take the boath to Auberdine,Text,,,,,,,Take the boath to Auberdine,https://classic.wowhead.com/quest=
Fly to [F Ruth'Theran],Fly,,Ruth'Theran,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT3661],TurnIn,3661,Ruth'Theran,,,,,,https://classic.wowhead.com/quest=3661
TurnIn: [QT2944],TurnIn,2944,Ruth'Theran,,,,,,https://classic.wowhead.com/quest=2944
Accept: [QA2943],Accept,2943,Ruth'Theran,,,,,,https://classic.wowhead.com/quest=2943
Accept: [QA5250],Accept,5250,Ruth'Theran,,,,,,https://classic.wowhead.com/quest=5250
TurnIn: [QT162],TurnIn,162,Darnassus,,,,,,https://classic.wowhead.com/quest=162
Accept: [QA4493],Accept,4493,Darnassus,,,,,,https://classic.wowhead.com/quest=4493
TurnIn: [QT3378][O],TurnInOptional,3378,Darnassus,,,,,,https://classic.wowhead.com/quest=3378
