Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,
[N52-53Felwood],,,,,,,,,
"[NX55-56BS,WPL]",,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,#REF!,
Accept: [QA4101],Accept,4101,Felwood,,,,,,https://classic.wowhead.com/quest=4101
Accept: [QA8460],Accept,8460,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Accept: [QA5155],Accept,5155,Felwood,,,,,,https://classic.wowhead.com/quest=5155
Accept: [QA4421],Accept,4421,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Accept: [QA5156],Accept,5156,Felwood,,,,,,https://classic.wowhead.com/quest=5156
Do: [QC8460],Do,8460,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Grind 4-5 Bars on the Furbolgs here,Text,,Felwood,,,,,Grind 4-5 Bars on the Furbolgs here,https://classic.wowhead.com/quest=
TurnIn: [QT8460],TurnIn,8460,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Accept: [QA8462],Accept,8462,Felwood,,,,,,https://classic.wowhead.com/quest=8462
Do: [QC4421],Do,4421,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond,Text,,Felwood,,,,,Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond,https://classic.wowhead.com/quest=
Do: [QC5155],Do,5155,Felwood,,,,,,https://classic.wowhead.com/quest=5155
Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond,Text,,Felwood,,,,,Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond,https://classic.wowhead.com/quest=
TurnIn: [QT4421],TurnIn,4421,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Accept: [QA4906],Accept,4906,Felwood,,,,,,https://classic.wowhead.com/quest=4906
TurnIn: [QT5155],TurnIn,5155,Felwood,,,,,,https://classic.wowhead.com/quest=5155
