
Name,Next,Faction
1-6 Gnome,6-9Gnome,Alliance
1-6Northshire,6-9ElwynnForest,Alliance
1-10 Nightelf,11-14Darkshore,Alliance
6-9ElwynnForest,11-14Darkshore,Alliance
6-9Gnome,9-11Gnome,Alliance
9-11Gnome,11-14Darkshore,Alliance
11-14Darkshore,14-17Loch Modan,Alliance
14-17Loch Modan,17-19Darkshore,Alliance
17-19Darkshore,19-21Deadmines,Alliance
19-21Deadmines,19-21RR,Alliance
19-21RR,21-22Ashenvale,Alliance
21-22Ashenvale,22-23Duskwood,Alliance
22-23Duskwood,23-24 Redridge,Alliance
23-24 Redridge,23-24 Stockades,Alliance
23-24 Stockades,24-25Ashenvale,Alliance
24-25Ashenvale,25-27Wetlands,Alliance
25-27Wetlands,27-28Duskwood,Alliance
27-28Duskwood,28-30 Ashenvale,Alliance
28-30 Ashenvale,30-31 Hillsbrad Foothills,Alliance
30-31 Hillsbrad Foothills,31-33 STV+TN,Alliance
31-33 STV+TN,32 Gnomeregan,Alliance
32 Gnomeregan,33-36 Desolace,Alliance
33-36 Desolace,36-37Arathi,Alliance
36-37Arathi,38Dustwallow Marsh,Alliance
38Dustwallow Marsh,39STV,Alliance
39STV,40-40Badlands,Alliance
40-40Badlands,41-41 Uldaman,Alliance
41-41 Uldaman,41-42 SwampOfSorrows,Alliance
41-42 SwampOfSorrows,42-43STV,Alliance
42-43STV,43-44Tanaris,Alliance
43-44Tanaris,44-45Feralas,Alliance
44-45Feralas,45-46Tanaris,Alliance
45-46Tanaris,46-47Hinterlands,Alliance
46-47Hinterlands,47-49Searing Gorge,Alliance
47-49Searing Gorge,49-51Un_Goro,Alliance
49-51Un_Goro,52-53Felwood,Alliance
52-53Felwood,53-53Feralas,Alliance
53-53Feralas,53-53Winterspring,Alliance
53-53Winterspring,55-55BS,Alliance
55-55BS,56-56WPL,Alliance
56-56WPL,56-59Plaguelands,Alliance
56-59Plaguelands,59-60BS,Alliance
59-60BS,,Alliance
