row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,Text,,,,,,,,,,,,,,,,"","",
4,Text,,,,,,,,,,,,,,,,"","",
5,Accept,783,A Threat Within,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=783,,,,,,,"","",accept A Threat Within##783
6,TurnIn,783,A Threat Within,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=783,,,,,,,"","",turnin A Threat Within##783
7,Accept,7,Kobold Camp Cleanup,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=7,,,,,,,"","",accept Kobold Camp Cleanup##7
8,Accept,5261,Eagan Peltskinner,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=5261,,,,,,,"","",accept Eagan Peltskinner##5261
9,TurnIn,5261,Eagan Peltskinner,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=5261,,,,,,,"","",turnin Eagan Peltskinner##5261
10,Accept,33,Wolves Across the Border,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=33,,,,,,,"","",accept Wolves Across the Border##33
11,Text,33,Wolves Across the Border,Elwynn Forest,,,,,Do [QC33- ][QC7],https://classic.wowhead.com/quest=33,,,,,,,"","",Do [QC33- ][QC7]
12,TurnIn,33,Wolves Across the Border,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=33,,,,,,,"","",turnin Wolves Across the Border##33
13,Text,,,Elwynn Forest,,,,,"Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest].",https://classic.wowhead.com/quest=,,,,,,,"","","Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest]."
14,Text,,,Elwynn Forest,,,,,"[A Warlock,Mage] Buy 10 Water",https://classic.wowhead.com/quest=,,,,,,,"","","[A Warlock,Mage] Buy 10 Water"
15,TurnIn,7,Kobold Camp Cleanup,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=7,,,,,,,"","",turnin Kobold Camp Cleanup##7
16,Accept,15,Investigate Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=15,,,,,,,"","",accept Investigate Echo Ridge##15
17,Accept,3100,Simple Letter,Elwynn Forest,,,,Warrior,,https://classic.wowhead.com/quest=3100,,,,,,,"","","accept Simple Letter##3100
|only if Warrior"
18,Accept,3101,Consecrated Letter,Elwynn Forest,,,,Paladin,,https://classic.wowhead.com/quest=3101,,,,,,,"","","accept Consecrated Letter##3101
|only if Paladin"
19,Accept,3105,Tainted Letter,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=3105,,,,,,,"","","accept Tainted Letter##3105
|only if Warlock"
