row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,Text,,,,,,,,,,,,,,,"","",,
5,Learn,,,Ironforge,,,14,,https://classic.wowhead.com/quest=,,,,,,,"","",,Get your level 14 spells at your trainer
6,Accept,2999,Tome of Divinity,,,,,,https://classic.wowhead.com/quest=2999,,,,,,,"","",Paladin,"accept Tome of Divinity##2999
|only if Paladin"
7,TurnIn,2999,Tome of Divinity,,,,,,https://classic.wowhead.com/quest=2999,,,,,,,"","",,turnin Tome of Divinity##2999
8,Text,,,,,,,[A Paladin]You just got a QuestItem Tome of Divinity. Accept the Quest.,https://classic.wowhead.com/quest=,,,,,,,"","",,[A Paladin]You just got a QuestItem Tome of Divinity. Accept the Quest.
9,Accept,1646,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1646,,,,,,,"","",Paladin,"accept The Tome of Divinity##1646
|only if Paladin"
10,TurnIn,1646,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1646,,,,,,,"","",Paladin,"turnin The Tome of Divinity##1646
|only if Paladin"
11,Accept,1647,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1647,,,,,,,"","",Paladin,"accept The Tome of Divinity##1647
|only if Paladin"
12,TurnIn,1647,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1647,,,,,,,"","",Paladin,"turnin The Tome of Divinity##1647
|only if Paladin"
13,Accept,1648,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1648,,,,,,,"","",Paladin,"accept The Tome of Divinity##1648
|only if Paladin"
14,Text,,,,,,,"[A Paladin]If you dont have 10 Linen Cloth, just buy it from the auction house, its always cheap.",https://classic.wowhead.com/quest=,,,,,,,"","",Paladin,"[A Paladin]If you dont have 10 Linen Cloth, just buy it from the auction house, its always cheap.
|only if Paladin"
15,TurnIn,1648,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1648,,,,,,,"","",Paladin,"turnin The Tome of Divinity##1648
|only if Paladin"
16,Accept,1778,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1778,,,,,,,"","",Paladin,"accept The Tome of Divinity##1778
|only if Paladin"
17,TurnIn,1778,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1778,,,,,,,"","",Paladin,"turnin The Tome of Divinity##1778
|only if Paladin"
18,Accept,1779,The Tome of Divinity,,,,,,https://classic.wowhead.com/quest=1779,,,,,,,"","",Paladin,"accept The Tome of Divinity##1779
|only if Paladin"
