row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,Text,,,,,,,,,,,,,,,"","",,
5,Accept,729,The Absent Minded Prospector,Darkshore,,,,,https://classic.wowhead.com/quest=729,,,,,,,"","",,accept The Absent Minded Prospector##729
6,Accept,4740,WANTED: Murkdeep!,Darkshore,,,,,https://classic.wowhead.com/quest=4740,,,,,,,"","",,accept WANTED: Murkdeep!##4740
7,Accept,1138,Fruit of the Sea,Darkshore,,,,,https://classic.wowhead.com/quest=1138,,,,,,,"","",,accept Fruit of the Sea##1138
8,Accept,4728,Beached Sea Creature,Darkshore,,,,,https://classic.wowhead.com/quest=4728,,,,,,,"","",,accept Beached Sea Creature##4728
9,Do,1138,Fruit of the Sea,Darkshore,,,,,https://classic.wowhead.com/quest=1138,,,,,,,"","",,Do: Fruit of the Sea |q 1138
10,Accept,4730,Beached Sea Creature,Darkshore,,,,,https://classic.wowhead.com/quest=4730,,,,,,,"","",,accept Beached Sea Creature##4730
11,Text,,,,,,,"The next 3 sea creatures are harder to get,especially as lvl 17warrior, but its doable, pull them ONE BY ONE! (You could also do it later if you die)",https://classic.wowhead.com/quest=,,,,,,,"","",,"The next 3 sea creatures are harder to get,especially as lvl 17warrior, but its doable, pull them ONE BY ONE! (You could also do it later if you die)"
12,Accept,4731,Beached Sea Turtle,Darkshore,,,,,https://classic.wowhead.com/quest=4731,,,,,,,"","",,accept Beached Sea Turtle##4731
13,Accept,4732,Beached Sea Turtle,Darkshore,,,,,https://classic.wowhead.com/quest=4732,,,,,,,"","",,accept Beached Sea Turtle##4732
14,Accept,4733,Beached Sea Creature,Darkshore,,,,,https://classic.wowhead.com/quest=4733,,,,,,,"","",,accept Beached Sea Creature##4733
15,Text,,,,,,,"Whilst going towards the next quest, kill all Moonstalker Sires you see.",https://classic.wowhead.com/quest=,,,,,,,"","",,"Whilst going towards the next quest, kill all Moonstalker Sires you see."
16,Accept,5713,One Shot. One Kill.,Darkshore,,,,,https://classic.wowhead.com/quest=5713,,,,,,,"","",,accept One Shot. One Kill.##5713
17,Do,5713,One Shot. One Kill.,Darkshore,,,,,https://classic.wowhead.com/quest=5713,,,,,,,"","",,Do: One Shot. One Kill. |q 5713
18,Do,986,A Lost Master,Darkshore,,,,,https://classic.wowhead.com/quest=986,,,,,,,"","",,Do: A Lost Master |q 986
19,Text,1003,Buzzbox 525,Darkshore,,,,Do [QC986- ][QC1003],https://classic.wowhead.com/quest=1003,,,,,,,"","",,Do [QC986- ][QC1003]
