row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,Text,,,,,,,,,,,,,,,"","",,
5,TurnIn,3765,The Corruption Abroad,Darkshore,,,,,https://classic.wowhead.com/quest=3765,,,,,,,"","",,turnin The Corruption Abroad##3765
6,TurnIn,951,Mathystra Relics,Darkshore,,,,,https://classic.wowhead.com/quest=951,,,,,,,"","",,turnin Mathystra Relics##951
7,Text,,,Darkshore,,,,"ESCORT QUEST INCOMING,make sure all group members are on the same questprogress.",https://classic.wowhead.com/quest=,,,,,,,"","",,"ESCORT QUEST INCOMING,make sure all group members are on the same questprogress."
8,TurnIn,993,A Lost Master,Darkshore,,,,,https://classic.wowhead.com/quest=993,,,,,,,"","",,turnin A Lost Master##993
9,Accept,994,Escape Through Force,Darkshore,,,,,https://classic.wowhead.com/quest=994,,,,,,,"","",,accept Escape Through Force##994
10,Do,994,Escape Through Force,Darkshore,,,,,https://classic.wowhead.com/quest=994,,,,,,,"","",,Do: Escape Through Force |q 994
11,TurnIn,5713,One Shot. One Kill.,Ashenvale,,,,,https://classic.wowhead.com/quest=5713,,,,,,,"","",,turnin One Shot. One Kill.##5713
12,TurnIn,967,The Tower of Althalaxx,Ashenvale,,,,,https://classic.wowhead.com/quest=967,,,,,,,"","",,turnin The Tower of Althalaxx##967
13,Accept,970,The Tower of Althalaxx,Ashenvale,,,,,https://classic.wowhead.com/quest=970,,,,,,,"","",,accept The Tower of Althalaxx##970
14,Accept,1010,Bathran's Hair,Ashenvale,,,,,https://classic.wowhead.com/quest=1010,,,,,,,"","",,accept Bathran's Hair##1010
15,Do,970,The Tower of Althalaxx,Ashenvale,,,,,https://classic.wowhead.com/quest=970,,,,,,,"","",,Do: The Tower of Althalaxx |q 970
16,Do,1010,Bathran's Hair,Ashenvale,,,,,https://classic.wowhead.com/quest=1010,,,,,,,"","",,Do: Bathran's Hair |q 1010
17,TurnIn,1010,Bathran's Hair,Ashenvale,,,,,https://classic.wowhead.com/quest=1010,,,,,,,"","",,turnin Bathran's Hair##1010
18,Accept,1020,Orendil's Cure,Ashenvale,,,,,https://classic.wowhead.com/quest=1020,,,,,,,"","",,accept Orendil's Cure##1020
19,TurnIn,970,The Tower of Althalaxx,Ashenvale,,,,,https://classic.wowhead.com/quest=970,,,,,,,"","",,turnin The Tower of Althalaxx##970
20,Accept,973,The Tower of Althalaxx,Ashenvale,,,,,https://classic.wowhead.com/quest=973,,,,,,,"","",,accept The Tower of Althalaxx##973
