row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,Text,,,,,,,,,,,,,,,"","",,
5,Text,,,,,,,"On your way through Duskwood kill spiders for some Gooey Spider legs. It doesnt matter how many you get,even 0 is ok.",https://classic.wowhead.com/quest=,,,,,,,"","",,"On your way through Duskwood kill spiders for some Gooey Spider legs. It doesnt matter how many you get,even 0 is ok."
6,Accept,66,The Legend of Stalvan,Duskwood,,,,,https://classic.wowhead.com/quest=66,,,,,,,"","",,accept The Legend of Stalvan##66
7,Accept,101,The Totem of Infliction,Duskwood,,,,,https://classic.wowhead.com/quest=101,,,,,,,"","",,accept The Totem of Infliction##101
8,TurnIn,66,The Legend of Stalvan,Duskwood,,,,,https://classic.wowhead.com/quest=66,,,,,,,"","",,turnin The Legend of Stalvan##66
9,Accept,67,The Legend of Stalvan,Duskwood,,,,,https://classic.wowhead.com/quest=67,,,,,,,"","",,accept The Legend of Stalvan##67
10,Accept,56,The Night Watch,Duskwood,,,,,https://classic.wowhead.com/quest=56,,,,,,,"","",,accept The Night Watch##56
11,Accept,163,Raven Hill,Duskwood,,,,,https://classic.wowhead.com/quest=163,,,,,,,"","",,accept Raven Hill##163
12,Accept,164,Deliveries to Sven,Duskwood,,,,,https://classic.wowhead.com/quest=164,,,,,,,"","",,accept Deliveries to Sven##164
13,Accept,165,The Hermit,Duskwood,,,,,https://classic.wowhead.com/quest=165,,,,,,,"","",,accept The Hermit##165
14,Flightpath,,,Duskwood,"77.12,44.17",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""77.12""
	""44.17""
]",77.12,44.17,"","",,"fpath Duskwood |goto Duskwood 77.12,44.17"
15,Text,,,Duskwood,,,,"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]",https://classic.wowhead.com/quest=,,,,,,,"","",,"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]"
16,Do,56,The Night Watch,Duskwood,,,,,https://classic.wowhead.com/quest=56,,,,,,,"","",,Do: The Night Watch
17,Accept,245,Eight-Legged Menaces,Duskwood,,,,,https://classic.wowhead.com/quest=245,,,,,,,"","",,accept Eight-Legged Menaces##245
18,TurnIn,163,Raven Hill,Duskwood,,,,,https://classic.wowhead.com/quest=163,,,,,,,"","",,turnin Raven Hill##163
19,Accept,5,Jitters' Growling Gut,Duskwood,,,,,https://classic.wowhead.com/quest=5,,,,,,,"","",,accept Jitters' Growling Gut##5
