row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,UseHearthstone,,,Stormwind City,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,use Hearthstone##6948
6,Text,,,,,,,"Search for people to do the Elite quests with, they are NOT included in the guide, but they are:Tharil'zun,Shadow Magic & WANTED: Gath'llzogg",https://classic.wowhead.com/quest=,,,,,,,"","",,"Search for people to do the Elite quests with, they are NOT included in the guide, but they are:Tharil'zun,Shadow Magic & WANTED: Gath'llzogg"
7,TurnIn,65,The Defias Brotherhood,Redridge Mountains,,,,,https://classic.wowhead.com/quest=65,,,,,,,"","",,turnin The Defias Brotherhood##65
8,TurnInOptional,386,What Comes Around...,Redridge Mountains,,,,,https://classic.wowhead.com/quest=386,,,,,,,"","",,
9,Accept,180,Wanted: Lieutenant Fangore,Redridge Mountains,,,,,https://classic.wowhead.com/quest=180,,,,,,,"","",,accept Wanted: Lieutenant Fangore##180
10,Accept,150,Murloc Poachers,Redridge Mountains,,,,,https://classic.wowhead.com/quest=150,,,,,,,"","",,accept Murloc Poachers##150
11,TurnIn,150,Murloc Poachers,Redridge Mountains,,,,,https://classic.wowhead.com/quest=150,,,,,,,"","",,turnin Murloc Poachers##150
12,Accept,127,Selling Fish,Redridge Mountains,,,,,https://classic.wowhead.com/quest=127,,,,,,,"","",,accept Selling Fish##127
13,TurnIn,144,Messenger to Westfall,Redridge Mountains,,,,,https://classic.wowhead.com/quest=144,,,,,,,"","",,turnin Messenger to Westfall##144
14,Accept,145,Messenger to Darkshire,Redridge Mountains,,,,,https://classic.wowhead.com/quest=145,,,,,,,"","",,accept Messenger to Darkshire##145
15,Accept,91,Solomon's Law,Redridge Mountains,,,,,https://classic.wowhead.com/quest=91,,,,,,,"","",,accept Solomon's Law##91
16,Accept,126,Howling in the Hills,Redridge Mountains,,,,,https://classic.wowhead.com/quest=126,,,,,,,"","",,accept Howling in the Hills##126
17,Accept,92,Redridge Goulash,Redridge Mountains,,,,,https://classic.wowhead.com/quest=92,,,,,,,"","",,accept Redridge Goulash##92
18,TurnIn,92,Redridge Goulash,Redridge Mountains,,,,,https://classic.wowhead.com/quest=92,,,,,,,"","",,turnin Redridge Goulash##92
19,Accept,34,An Unwelcome Guest,Redridge Mountains,,,,,https://classic.wowhead.com/quest=34,,,,,,,"","",,accept An Unwelcome Guest##34
20,Do,34,An Unwelcome Guest,Redridge Mountains,,,,,https://classic.wowhead.com/quest=34,,,,,,,"","",,Do: An Unwelcome Guest
