row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,Accept,387,Quell The Uprising,Stormwind City,,,,,https://classic.wowhead.com/quest=387,,,,,,,"","",,accept Quell The Uprising##387
6,Accept,391,The Stockade Riots,,,,,,https://classic.wowhead.com/quest=391,,,,,,,"","",,accept The Stockade Riots##391
7,Accept,388,The Color of Blood,Stormwind City,,,,,https://classic.wowhead.com/quest=388,,,,,,,"","",,accept The Color of Blood##388
8,Fly,,,Duskwood,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,fpath Duskwood
9,Accept,377,Crime and Punishment,,,,,,https://classic.wowhead.com/quest=377,,,,,,,"","",,accept Crime and Punishment##377
10,Fly,,,Redridge Mountains,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,fpath Redridge Mountains
11,Accept,386,What Comes Around...,,,,,,https://classic.wowhead.com/quest=386,,,,,,,"","",,accept What Comes Around...##386
12,Text,,,,,,,Do the dungeon,https://classic.wowhead.com/quest=,,,,,,,"","",,Do the dungeon
13,Do,387,Quell The Uprising,,,,,,https://classic.wowhead.com/quest=387,,,,,,,"","",,Do: Quell The Uprising
14,Do,391,The Stockade Riots,,,,,,https://classic.wowhead.com/quest=391,,,,,,,"","",,Do: The Stockade Riots
15,Do,388,The Color of Blood,,,,,,https://classic.wowhead.com/quest=388,,,,,,,"","",,Do: The Color of Blood
16,Do,377,Crime and Punishment,,,,,,https://classic.wowhead.com/quest=377,,,,,,,"","",,Do: Crime and Punishment
17,Do,386,What Comes Around...,,,,,,https://classic.wowhead.com/quest=386,,,,,,,"","",,Do: What Comes Around...
18,TurnIn,387,Quell The Uprising,,,,,,https://classic.wowhead.com/quest=387,,,,,,,"","",,turnin Quell The Uprising##387
19,TurnIn,391,The Stockade Riots,,,,,,https://classic.wowhead.com/quest=391,,,,,,,"","",,turnin The Stockade Riots##391
20,Accept,392,The Curious Visitor,Stormwind City,,,,,https://classic.wowhead.com/quest=392,,,,,,,"","",,accept The Curious Visitor##392
21,TurnIn,392,The Curious Visitor,Stormwind City,,,,,https://classic.wowhead.com/quest=392,,,,,,,"","",,turnin The Curious Visitor##392
22,Accept,393,Shadow of the Past,Stormwind City,,,,,https://classic.wowhead.com/quest=393,,,,,,,"","",,accept Shadow of the Past##393
23,TurnIn,388,The Color of Blood,Stormwind City,,,,,https://classic.wowhead.com/quest=388,,,,,,,"","",,turnin The Color of Blood##388
24,TurnIn,393,Shadow of the Past,Stormwind City,,,,,https://classic.wowhead.com/quest=393,,,,,,,"","",,turnin Shadow of the Past##393
25,Accept,350,Look to an Old Friend,Stormwind City,,,,,https://classic.wowhead.com/quest=350,,,,,,,"","",,accept Look to an Old Friend##350
26,TurnIn,350,Look to an Old Friend,Stormwind City,,,,,https://classic.wowhead.com/quest=350,,,,,,,"","",,turnin Look to an Old Friend##350
27,Accept,2745,Infiltrating the Castle,Stormwind City,,,,,https://classic.wowhead.com/quest=2745,,,,,,,"","",,accept Infiltrating the Castle##2745
28,TurnIn,2745,Infiltrating the Castle,Stormwind City,,,,,https://classic.wowhead.com/quest=2745,,,,,,,"","",,turnin Infiltrating the Castle##2745
29,Accept,2746,Items of Some Consequence,Stormwind City,,,,,https://classic.wowhead.com/quest=2746,,,,,,,"","",,accept Items of Some Consequence##2746
30,Text,,,,,,,We will turn in the other 2 dungeons quests in the next guide.,https://classic.wowhead.com/quest=,,,,,,,"","",,We will turn in the other 2 dungeons quests in the next guide.
31,,,,,,,,,,,,,,,,"","",,""
