row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,Text,,,,,,,"Buy: [CI2594,1 Flagon of Dwarven Honeymead] from Innkeeper Helbrek",https://classic.wowhead.com/quest=,2594,Flagon of Dwarven Honeymead,1,,,,"","",,"Buy: [CI2594,1 Flagon of Dwarven Honeymead] from Innkeeper Helbrek"
6,TurnIn,942,The Absent Minded Prospector,Wetlands,,,,,https://classic.wowhead.com/quest=942,,,,,,,"","",,turnin The Absent Minded Prospector##942
7,Accept,943,The Absent Minded Prospector,Wetlands,,,,,https://classic.wowhead.com/quest=943,,,,,,,"","",,accept The Absent Minded Prospector##943
8,Accept,288,The Third Fleet,Wetlands,,,,,https://classic.wowhead.com/quest=288,,,,,,,"","",,accept The Third Fleet##288
9,TurnIn,288,The Third Fleet,Wetlands,,,,,https://classic.wowhead.com/quest=288,,,,,,,"","",,turnin The Third Fleet##288
10,Accept,289,The Cursed Crew,Wetlands,,,,,https://classic.wowhead.com/quest=289,,,,,,,"","",,accept The Cursed Crew##289
11,Accept,463,The Greenwarden,Wetlands,,,,,https://classic.wowhead.com/quest=463,,,,,,,"","",,accept The Greenwarden##463
12,Accept,279,Claws from the Deep,Wetlands,,,,,https://classic.wowhead.com/quest=279,,,,,,,"","",,accept Claws from the Deep##279
13,Accept,484,Young Crocolisk Skins,Wetlands,,,,,https://classic.wowhead.com/quest=484,,,,,,,"","",,accept Young Crocolisk Skins##484
14,Accept,464,War Banners,Wetlands,,,,,https://classic.wowhead.com/quest=464,,,,,,,"","",,accept War Banners##464
15,Accept,470,Digging Through the Ooze,Wetlands,,,,,https://classic.wowhead.com/quest=470,,,,,,,"","",,accept Digging Through the Ooze##470
16,Accept,305,In Search of The Excavation Team,Wetlands,,,,,https://classic.wowhead.com/quest=305,,,,,,,"","",,accept In Search of The Excavation Team##305
17,Text,,,Wetlands,,,,Kill Young Crocolisks from now on for their skin.,https://classic.wowhead.com/quest=,,,,,,,"","",,Kill Young Crocolisks from now on for their skin.
18,Do,279,Claws from the Deep,Wetlands,,,,,https://classic.wowhead.com/quest=279,,,,,,,"","",,Do: Claws from the Deep |q 279
19,Run,,,Wetlands,"34.1, 40.8",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""34.1""
	"" 40.8""
]",34.1, 40.8,"","",,"Run to 34.1, 40.8 |goto Wetlands 34.1, 40.8"
