row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,Turnin,270,The Doomed Fleet,Wetlands,,,,,https://classic.wowhead.com/quest=270,,,,,,,"","",,""
6,Accept,321,Lightforge Iron,Wetlands,,,,,https://classic.wowhead.com/quest=321,,,,,,,"","",,accept Lightforge Iron##321
7,Turnin,321,Lightforge Iron,Wetlands,,,,,https://classic.wowhead.com/quest=321,,,,,,,"","",,""
8,Accept,324,The Lost Ingots,Wetlands,,,,,https://classic.wowhead.com/quest=324,,,,,,,"","",,accept The Lost Ingots##324
9,Do,324,The Lost Ingots,Wetlands,,,,,https://classic.wowhead.com/quest=324,,,,,,,"","",,Do: The Lost Ingots |q 324
10,Turnin,324,The Lost Ingots,Wetlands,,,,,https://classic.wowhead.com/quest=324,,,,,,,"","",,""
11,Accept,322,Blessed Arm,Wetlands,,,,,https://classic.wowhead.com/quest=322,,,,,,,"","",,accept Blessed Arm##322
12,Text,,,,,,,Take the boat to Auberdine.,https://classic.wowhead.com/quest=,,,,,,,"","",,Take the boat to Auberdine.
13,Fly,,,Ashenvale,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,fpath Ashenvale
14,Accept,1022,The Howling Vale,Ashenvale,,,,,https://classic.wowhead.com/quest=1022,,,,,,,"","",,accept The Howling Vale##1022
15,Accept,1021,Vile Satyr! Dryads in Danger!,Ashenvale,,,,,https://classic.wowhead.com/quest=1021,,,,,,,"","",,accept Vile Satyr! Dryads in Danger!##1021
16,Accept,4581,Kayneth Stillwind,Ashenvale,,,,,https://classic.wowhead.com/quest=4581,,,,,,,"","",,accept Kayneth Stillwind##4581
17,Accept,1035,Fallen Sky Lake,Ashenvale,,,,,https://classic.wowhead.com/quest=1035,,,,,,,"","",,accept Fallen Sky Lake##1035
18,Run,,,Ashenvale,"58.6, 55.3",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""58.6""
	"" 55.3""
]",58.6, 55.3,"","",,"Run to 58.6, 55.3 |goto Ashenvale 58.6, 55.3"
19,Do,1026,Raene's Cleansing,Ashenvale,,,,,https://classic.wowhead.com/quest=1026,,,,,,,"","",,Do: Raene's Cleansing |q 1026
20,Run,,,Ashenvale,"54.3, 32.8",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""54.3""
	"" 32.8""
]",54.3, 32.8,"","",,"Run to 54.3, 32.8 |goto Ashenvale 54.3, 32.8"
