row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Duskwood
6,TurnIn,101,The Totem of Infliction,Duskwood,,,,,,https://classic.wowhead.com/quest=101,,,,,,,"","",turnin The Totem of Infliction##101
7,TurnIn,1243,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1243,,,,,,,"","",turnin The Missing Diplomat##1243
8,Accept,1244,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1244,,,,,,,"","",accept The Missing Diplomat##1244
9,Hearthstone,,,Duskwood,"74,44",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""74""
	""44""
]",74,44,"","",home Duskwood
10,TurnIn,58,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=58,,,,,,,"","",turnin The Night Watch##58
11,Fly,,,Westfall,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Westfall
12,TurnIn,325,Armed and Ready,Duskwood,,,,,,https://classic.wowhead.com/quest=325,,,,,,,"","",turnin Armed and Ready##325
13,Text,,,Duskwood,,,,,"If you are in a group, do the follow-up elite quest Morbent Fel, otherwise skip it.",https://classic.wowhead.com/quest=,,,,,,,"","","If you are in a group, do the follow-up elite quest Morbent Fel, otherwise skip it."
14,Do,1244,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1244,,,,,,,"","",Do: The Missing Diplomat |q 1244
15,Do,134,Ogre Thieves,Duskwood,,,,,,https://classic.wowhead.com/quest=134,,,,,,,"","",Do: Ogre Thieves |q 134
16,Do,181,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=181,,,,,,,"","",Do: Look To The Stars |q 181
17,Accept,203,The Second Rebellion,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=203,,,,,,,"","",accept The Second Rebellion##203
18,Accept,583,Welcome to the Jungle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583,,,,,,,"","",accept Welcome to the Jungle##583
19,Turnin,583,Welcome to the Jungle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583,,,,,,,"","",""
20,Accept,194,Raptor Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=194,,,,,,,"","",accept Raptor Mastery##194
21,Accept,185,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=185,,,,,,,"","",accept Tiger Mastery##185
