row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
6,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
7,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
8,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
9,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
10,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
11,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
12,,,,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",,""
13,AcceptOptional,2924,Essential Artificials,Ironforge,,,,,https://classic.wowhead.com/quest=2924,,,,,,,"","",,
14,AcceptOptional,2930,Data Rescue,Ironforge,,,,,https://classic.wowhead.com/quest=2930,,,,,,,"","",,
15,TurninOptional,2923,Tinkmaster Overspark,Ironforge,,,,,https://classic.wowhead.com/quest=2923,,,,,,,"","",,""
16,AcceptOptional,2922,Save Techbot's Brain!,Ironforge,,,,,https://classic.wowhead.com/quest=2922,,,,,,,"","",,
17,AcceptOptional,2929,The Grand Betrayal,Ironforge,,,,,https://classic.wowhead.com/quest=2929,,,,,,,"","",,
18,AcceptOptional,2927,The Day After,Ironforge,,,,,https://classic.wowhead.com/quest=2927,,,,,,,"","",,
19,TurninOptional,2927,The Day After,Dun Morogh,,,,,https://classic.wowhead.com/quest=2927,,,,,,,"","",,""
20,AcceptOptional,2926,Gnogaine,Dun Morogh,,,,,https://classic.wowhead.com/quest=2926,,,,,,,"","",,
21,Hearthstone,,,Dun Morogh,"47.4,52.6",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""47.4""
	""52.6""
]",47.4,52.6,"","",,home Dun Morogh
22,GrindOptional,,,Gnomeregan,,,33,,https://classic.wowhead.com/quest=,,,,,,,"","",,
23,TurninOptional,2926,Gnogaine,Dun Morogh,,,,,https://classic.wowhead.com/quest=2926,,,,,,,"","",,""
24,TurninOptional,2924,Essential Artificials,Ironforge,,,,,https://classic.wowhead.com/quest=2924,,,,,,,"","",,""
25,TurninOptional,2930,Data Rescue,Ironforge,,,,,https://classic.wowhead.com/quest=2930,,,,,,,"","",,""
26,TurninOptional,2922,Save Techbot's Brain!,Ironforge,,,,,https://classic.wowhead.com/quest=2922,,,,,,,"","",,""
