row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,1437,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1437,,,,,,,"","",accept Vahlarriel's Search##1437
7,Accept,1382,Strange Alliance,Desolace,,,,,,https://classic.wowhead.com/quest=1382,,,,,,,"","",accept Strange Alliance##1382
8,Accept,1387,Centaur Bounty,Desolace,,,,,,https://classic.wowhead.com/quest=1387,,,,,,,"","",accept Centaur Bounty##1387
9,Turnin,1453,Reclaimers' Business in Desolace,Desolace,,,,,,https://classic.wowhead.com/quest=1453,,,,,,,"","",""
10,Accept,1454,The Karnitol Shipwreck,Desolace,,,,,,https://classic.wowhead.com/quest=1454,,,,,,,"","",accept The Karnitol Shipwreck##1454
11,Accept,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458,,,,,,,"","",accept Reagents for Reclaimers Inc.##1458
12,Flightpath,,,Desolace,"65,10",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""65""
	""10""
]",65,10,"","","fpath Desolace |goto Desolace 65,10"
13,Hearthstone,,,Desolace,"66,6",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""66""
	""6""
]",66,6,"","",home Desolace
14,Turnin,1437,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1437,,,,,,,"","",""
15,Accept,1465,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1465,,,,,,,"","",accept Vahlarriel's Search##1465
16,Do,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458,,,,,,,"","",Do: Reagents for Reclaimers Inc. |q 1458
17,Turnin,1465,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1465,,,,,,,"","",""
18,Accept,1438,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1438,,,,,,,"","",accept Vahlarriel's Search##1438
19,Turnin,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458,,,,,,,"","",""
20,Accept,1459,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1459,,,,,,,"","",accept Reagents for Reclaimers Inc.##1459
21,Text,,,Desolace,,,,,Kill all Scorpions/Aged Kodos you find from now on,https://classic.wowhead.com/quest=,,,,,,,"","",Kill all Scorpions/Aged Kodos you find from now on
