row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,Text,,,,,,,,,,,,,,,,"","",
5,,,,,,,,,,,,,,,,,"","",""
6,Fly,,,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Arathi Highlands
7,Accept,681,Northfold Manor,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=681,,,,,,,"","",accept Northfold Manor##681
8,AcceptOptional,684,Wanted! Marez Cowl,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=684,,,,,,,"","",
9,AcceptOptional,685,Wanted! Otto and Falconcrest,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=685,,,,,,,"","",
10,Turnin,690,Malin's Request,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=690,,,,,,,"","",""
11,Accept,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691,,,,,,,"","",accept Worth Its Weight in Gold##691
12,Accept,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642,,,,,,,"","",accept The Princess Trapped##642
13,Do,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642,,,,,,,"","",Do: The Princess Trapped
14,Turnin,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642,,,,,,,"","",""
15,Text,,,Arathi Highlands,,,,,Grind till youre 36 and 3/4,https://classic.wowhead.com/quest=,,,,,,,"","",Grind till youre 36 and 3/4
16,Accept,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651,,,,,,,"","",accept Stones of Binding##651
17,Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651,,,,,,,"","",Do: Stones of Binding
18,Turnin,659,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=659,,,,,,,"","",""
19,Accept,658,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=658,,,,,,,"","",accept Hints of a New Plague?##658
20,Text,,,Arathi Highlands,,,,,Keep an eye out for the Forsaken Courier,https://classic.wowhead.com/quest=,,,,,,,"","",Keep an eye out for the Forsaken Courier
21,Do,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691,,,,,,,"","",Do: Worth Its Weight in Gold
22,Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651,,,,,,,"","",Do: Stones of Binding
