row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,Text,,,,,,,,,,,,,,,,"","",
6,TurninOptional,1050,Mythology of the Titans,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=1050,,,,,,,"","",""
7,Fly,,,Wetlands,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Wetlands
8,Text,,,Arathi Highlands,,,,,Take the Boat to Theramore,https://classic.wowhead.com/quest=,,,,,,,"","",Take the Boat to Theramore
9,Flightpath,,,Dustwallow Marsh,"67,51",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""67""
	""51""
]",67,51,"","","fpath Dustwallow Marsh |goto Dustwallow Marsh 67,51"
10,Fly,,,Tanaris,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Tanaris
11,Turnin,1112,Parts for Kravel,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1112,,,,,,,"","",""
12,Accept,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114,,,,,,,"","",accept Delivery to the Gnomes##1114
13,Turnin,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114,,,,,,,"","",""
14,Accept,1106,Martek the Exiled,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1106,,,,,,,"","",accept Martek the Exiled##1106
15,Accept,1115,The Rumormonger,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1115,,,,,,,"","",accept The Rumormonger##1115
16,Turnin,1183,Goblin Sponsorship,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1183,,,,,,,"","",""
17,Accept,1186,The Eighteenth Pilot,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1186,,,,,,,"","",accept The Eighteenth Pilot##1186
18,Turnin,1186,The Eighteenth Pilot,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1186,,,,,,,"","",""
19,Accept,1187,Razzeric's Tweaking,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1187,,,,,,,"","",accept Razzeric's Tweaking##1187
20,Run,,,Tanaris,"51,29",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""51""
	""29""
]",51,29,"","","Run to 51,29 |goto Tanaris 51,29"
21,Fly,,,Dustwallow Marsh,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Dustwallow Marsh
