row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,TurnInOptional,697,Malin's Request,Stormwind City,,,,,,https://classic.wowhead.com/quest=697,,,,,,,"","",
7,TurnInOptional,543,The Perenolde Tiara,Stormwind City,,,,,,https://classic.wowhead.com/quest=543,,,,,,,"","",
8,Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Loch Modan
9,Accept,2500,Badlands Reagent Run,Loch Modan,,,,,,https://classic.wowhead.com/quest=2500,,,,,,,"","",accept Badlands Reagent Run##2500
10,TurnIn,707,Ironband Wants You!,Loch Modan,,,,,,https://classic.wowhead.com/quest=707,,,,,,,"","",turnin Ironband Wants You!##707
11,Accept,738,Find Agmond,Loch Modan,,,,,,https://classic.wowhead.com/quest=738,,,,,,,"","",accept Find Agmond##738
12,Text,,,Badlands,,,,,Kill all Vultures & wolves from now on,https://classic.wowhead.com/quest=,,,,,,,"","",Kill all Vultures & wolves from now on
13,Accept,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719,,,,,,,"","",accept A Dwarf and His Tools##719
14,Accept,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718,,,,,,,"","",accept Mirages##718
15,TurnIn,1106,Martek the Exiled,Badlands,,,,,,https://classic.wowhead.com/quest=1106,,,,,,,"","",turnin Martek the Exiled##1106
16,Accept,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108,,,,,,,"","",accept Indurium##1108
17,Accept,703,Barbecued Buzzard Wings,Badlands,,,,,,https://classic.wowhead.com/quest=703,,,,,,,"","",accept Barbecued Buzzard Wings##703
18,Accept,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710,,,,,,,"","",accept Study of the Elements: Rock##710
19,Do,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710,,,,,,,"","",Do: Study of the Elements: Rock |q 710
20,Text,,,Badlands,,,,,Grind on the elementals for 6-10 bars,https://classic.wowhead.com/quest=,,,,,,,"","",Grind on the elementals for 6-10 bars
21,TurnIn,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710,,,,,,,"","",turnin Study of the Elements: Rock##710
22,Accept,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711,,,,,,,"","",accept Study of the Elements: Rock##711
