row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,Text,,,,,,,,,,,,,,,,"","",
6,Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Stormwind City
7,Accept,1448,In Search of The Temple,Stormwind City,,,,,,https://classic.wowhead.com/quest=1448,,,,,,,"","",accept In Search of The Temple##1448
8,Accept,1477,Vital Supplies,Stormwind City,,,,,,https://classic.wowhead.com/quest=1477,,,,,,,"","",accept Vital Supplies##1477
9,Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Duskwood
10,TurnIn,1477,Vital Supplies,Duskwood,,,,,,https://classic.wowhead.com/quest=1477,,,,,,,"","",turnin Vital Supplies##1477
11,Accept,1396,Encroaching Wildlife,Duskwood,,,,,,https://classic.wowhead.com/quest=1396,,,,,,,"","",accept Encroaching Wildlife##1396
12,Do,1116,Dream Dust in the Swamp,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1116,,,,,,,"","",Do: Dream Dust in the Swamp
13,Do,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396,,,,,,,"","",Do: Encroaching Wildlife
14,TurnIn,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396,,,,,,,"","",turnin Encroaching Wildlife##1396
15,Accept,1421,The Lost Caravan,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1421,,,,,,,"","",accept The Lost Caravan##1421
16,Text,,,Swamp of Sorrows,,,,,"Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though",https://classic.wowhead.com/quest=,,,,,,,"","","Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though"
17,Accept,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392,,,,,,,"","",accept Noboru the Cudgel##1392
18,TurnIn,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392,,,,,,,"","",turnin Noboru the Cudgel##1392
19,Accept,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389,,,,,,,"","",accept Draenethyst Crystals##1389
20,Do,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389,,,,,,,"","",Do: Draenethyst Crystals
