row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,600,Venture Company Mining,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=600,,,,,,,"","",accept Venture Company Mining##600
7,Accept,621,Zanzil's Secret,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=621,,,,,,,"","",accept Zanzil's Secret##621
8,Accept,587,Up to Snuff,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=587,,,,,,,"","",accept Up to Snuff##587
9,Accept,2864,Tran'rek,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=2864,,,,,,,"","",accept Tran'rek##2864
10,Accept,209,Skullsplitter Tusks,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=209,,,,,,,"","",accept Skullsplitter Tusks##209
11,Accept,604,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=604,,,,,,,"","",accept The Bloodsail Buccaneers##604
12,Accept,617,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=617,,,,,,,"","",accept Akiris by the Bundle##617
13,Accept,609,Voodoo Dues,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=609,,,,,,,"","",accept Voodoo Dues##609
14,Accept,2872,Stoley's Debt,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=2872,,,,,,,"","",accept Stoley's Debt##2872
15,Accept,576,Keep An Eye Out,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=576,,,,,,,"","",accept Keep An Eye Out##576
16,Text,,,Stranglethorn Vale,,,,,Keep an eye out for the Bottle Quest(along the beach),https://classic.wowhead.com/quest=,,,,,,,"","",Keep an eye out for the Bottle Quest(along the beach)
17,Do,604,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=604,,,,,,,"","",Do: The Bloodsail Buccaneers
18,Do,587,Up to Snuff,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=587,,,,,,,"","",Do: Up to Snuff
19,Do,576,Keep An Eye Out,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=576,,,,,,,"","",Do: Keep An Eye Out
20,Text,,,Stranglethorn Vale,,,,,Farm 4-10 Bars on the non casting pirates here,https://classic.wowhead.com/quest=,,,,,,,"","",Farm 4-10 Bars on the non casting pirates here
21,Do,617,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=617,,,,,,,"","",Do: Akiris by the Bundle
