row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Turnin,2864,Tran'rek,Tanaris,,,,,,https://classic.wowhead.com/quest=2864,,,,,,,"","",""
7,Turnin,1188,Safety First,Tanaris,,,,,,https://classic.wowhead.com/quest=1188,,,,,,,"","",""
8,Accept,1189,Safety First,Tanaris,,,,,,https://classic.wowhead.com/quest=1189,,,,,,,"","",accept Safety First##1189
9,Accept,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781,,,,,,,"","",accept WANTED: Caliph Scorpidsting##2781
10,Accept,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875,,,,,,,"","",accept WANTED: Andre Firebeard##2875
11,Accept,1707,Water Pouch Bounty,Tanaris,,,,,,https://classic.wowhead.com/quest=1707,,,,,,,"","",accept Water Pouch Bounty##1707
12,Accept,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690,,,,,,,"","",accept Wastewander Justice##1690
13,Do,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690,,,,,,,"","",Do: Wastewander Justice
14,Text,,,Tanaris,,,,,Grind till [XP44],https://classic.wowhead.com/quest=,,,,,,,"","",Grind till [XP44]
15,Accept,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365,,,,,,,"","",accept Pirate Hats Ahoy!##8365
16,Accept,3520,Screecher Spirits,Tanaris,,,,,,https://classic.wowhead.com/quest=3520,,,,,,,"","",accept Screecher Spirits##3520
17,Accept,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360,,,,,,,"","",accept Dancing for Marzipan##8360
18,Turnin,2872,Stoley's Debt,Tanaris,,,,,,https://classic.wowhead.com/quest=2872,,,,,,,"","",""
19,Accept,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873,,,,,,,"","",accept Stoley's Shipment##2873
20,Do,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875,,,,,,,"","",Do: WANTED: Andre Firebeard
21,Do,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365,,,,,,,"","",Do: Pirate Hats Ahoy!
22,Do,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360,,,,,,,"","",Do: Dancing for Marzipan
23,Do,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873,,,,,,,"","",Do: Stoley's Shipment
24,Text,,,Tanaris,,,,,Grind 4-10 Bars unless those pesky AoE farming mages are here :D,https://classic.wowhead.com/quest=,,,,,,,"","",Grind 4-10 Bars unless those pesky AoE farming mages are here :D
25,Turnin,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690,,,,,,,"","",""
26,Accept,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691,,,,,,,"","",accept More Wastewander Justice##1691
27,Turnin,1707,Water Pouch Bounty,Tanaris,,,,,,https://classic.wowhead.com/quest=1707,,,,,,,"","",""
28,Do,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691,,,,,,,"","",Do: More Wastewander Justice
29,Do,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781,,,,,,,"","",Do: WANTED: Caliph Scorpidsting
30,Turnin,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873,,,,,,,"","",""
31,Accept,2874,Deliver to MacKinley,Tanaris,,,,,,https://classic.wowhead.com/quest=2874,,,,,,,"","",accept Deliver to MacKinley##2874
32,Turnin,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875,,,,,,,"","",""
33,Turnin,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360,,,,,,,"","",""
34,Turnin,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365,,,,,,,"","",""
35,Turnin,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691,,,,,,,"","",""
36,Turnin,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781,,,,,,,"","",""
37,Accept,3022,Handle With Care,Tanaris,,,,,,https://classic.wowhead.com/quest=3022,,,,,,,"","",accept Handle With Care##3022
