row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Run,,,Hillsbrad Foothills,"84.8,31.9",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""84.8""
	""31.9""
]",84.8,31.9,"","","Run to 84.8,31.9 |goto Hillsbrad Foothills 84.8,31.9"
7,TurnIn,1449,To The Hinterlands,The Hinterlands,,,,,,https://classic.wowhead.com/quest=1449,,,,,,,"","",turnin To The Hinterlands##1449
8,Accept,1450,Gryphon Master Talonaxe,The Hinterlands,,,,,,https://classic.wowhead.com/quest=1450,,,,,,,"","",accept Gryphon Master Talonaxe##1450
9,TurnIn,1450,Gryphon Master Talonaxe,The Hinterlands,,,,,,https://classic.wowhead.com/quest=1450,,,,,,,"","",turnin Gryphon Master Talonaxe##1450
10,Accept,2988,Witherbark Cages,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2988,,,,,,,"","",accept Witherbark Cages##2988
11,Accept,2880,Troll Necklace Bounty,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2880,,,,,,,"","",accept Troll Necklace Bounty##2880
12,Accept,2877,Skulk Rock Clean-up,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2877,,,,,,,"","",accept Skulk Rock Clean-up##2877
13,Hearthstone,,,The Hinterlands,"13.8,41.6",,,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""13.8""
	""41.6""
]",13.8,41.6,"","",home The Hinterlands
14,Do,3661,Favored of Elune?,The Hinterlands,,,,,,https://classic.wowhead.com/quest=3661,,,,,,,"","",Do: Favored of Elune? |q 3661
15,Do,2988,Witherbark Cages,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2988,,,,,,,"","",Do: Witherbark Cages |q 2988
16,Text,,,The Hinterlands,,,,,Grind on the trolls untill youre [XP47],https://classic.wowhead.com/quest=,,,,,,,"","",Grind on the trolls untill youre [XP47]
17,Do,2880,Troll Necklace Bounty,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2880,,,,,,,"","",Do: Troll Necklace Bounty |q 2880
18,Do,2988,Witherbark Cages,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2988,,,,,,,"","",Do: Witherbark Cages |q 2988
19,Do,2641,Sprinkle's Secret Ingredient,The Hinterlands,,,,,,https://classic.wowhead.com/quest=2641,,,,,,,"","",Do: Sprinkle's Secret Ingredient |q 2641
