row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,Text,,,,,,,,,,,,,,,,"","",
5,,,,,,,,,,,,,,,,,"","",""
6,AcceptOptional,706,Fiery Blaze Enchantments,Badlands,,,,,,https://classic.wowhead.com/quest=706,,,,,,,"","",
7,AcceptOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717,,,,,,,"","",
8,Text,,,Badlands,,,,,"[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it.",https://classic.wowhead.com/quest=,,,,,,,"","","[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it."
9,DoOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717,,,,,,,"","",Do (Optional): Tremors of the Earth
10,TurnInOptional,779,Seal of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=779,,,,,,,"","",
11,TurnInOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717,,,,,,,"","",
12,TurnInOptional,706,Fiery Blaze Enchantments,Badlands,,,,,,https://classic.wowhead.com/quest=706,,,,,,,"","",
13,Accept,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449,,,,,,,"","",accept Caught!##4449
14,Do,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449,,,,,,,"","",Do: Caught!
15,Text,,,Searing Gorge,,,,,"[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]",https://classic.wowhead.com/quest=,,,,,,,"","","[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]"
16,Accept,3181,The Horn of the Beast,Searing Gorge,,,,,,https://classic.wowhead.com/quest=3181,,,,,,,"","",accept The Horn of the Beast##3181
17,TurnIn,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449,,,,,,,"","",turnin Caught!##4449
18,Accept,4450,Ledger from Tanaris,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4450,,,,,,,"","",accept Ledger from Tanaris##4450
19,Do,"4450,1",Ledger from Tanaris,Searing Gorge,,,,,,"https://classic.wowhead.com/quest=4450,1",,,,,,,"","",Do: Ledger from Tanaris
20,Accept,3367,Suntara Stones,Searing Gorge,,,,,,https://classic.wowhead.com/quest=3367,,,,,,,"","",accept Suntara Stones##3367
21,Do,3367,Suntara Stones,Searing Gorge,,,,,,https://classic.wowhead.com/quest=3367,,,,,,,"","",Do: Suntara Stones
