row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,4289,The Apes of Un'Goro,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4289,,,,,,,"","",accept The Apes of Un'Goro##4289
7,Accept,4290,The Fare of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290,,,,,,,"","",accept The Fare of Lar'korwi##4290
8,Text,,,Un'Goro Crater,,,,,"Get 7 Crystals each(Blue,Green,Yellow,Red) and A Mangled Journal from the raptors",https://classic.wowhead.com/quest=,,,,,,,"","","Get 7 Crystals each(Blue,Green,Yellow,Red) and A Mangled Journal from the raptors"
9,Accept,3844,It's a Secret to Everybody,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3844,,,,,,,"","",accept It's a Secret to Everybody##3844
10,TurnIn,3844,It's a Secret to Everybody,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3844,,,,,,,"","",turnin It's a Secret to Everybody##3844
11,Accept,3845,It's a Secret to Everybody,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=3845,,,,,,,"","",accept It's a Secret to Everybody##3845
12,Do,4290,The Fare of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290,,,,,,,"","",Do: The Fare of Lar'korwi |q 4290
13,Text,,,Un'Goro Crater,,,,,"Grind till level 49 and 50% on plants around [G67.7,30.7Un'Goro Crater]",https://classic.wowhead.com/quest=,,,,,,,"","","Grind till level 49 and 50% on plants around [G67.7,30.7Un'Goro Crater]"
14,TurnIn,4290,The Fare of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4290,,,,,,,"","",turnin The Fare of Lar'korwi##4290
15,Accept,4291,The Scent of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291,,,,,,,"","",accept The Scent of Lar'korwi##4291
16,Do,4291,The Scent of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291,,,,,,,"","",Do: The Scent of Lar'korwi |q 4291
17,TurnIn,4291,The Scent of Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4291,,,,,,,"","",turnin The Scent of Lar'korwi##4291
18,Accept,4292,The Bait for Lar'korwi,Un'Goro Crater,,,,,,https://classic.wowhead.com/quest=4292,,,,,,,"","",accept The Bait for Lar'korwi##4292
