row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,4101,Cleansing Felwood,Felwood,,,,,,https://classic.wowhead.com/quest=4101,,,,,,,"","",accept Cleansing Felwood##4101
7,Accept,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460,,,,,,,"","",accept Timbermaw Ally##8460
8,Accept,5155,Forces of Jaedenar,Felwood,,,,,,https://classic.wowhead.com/quest=5155,,,,,,,"","",accept Forces of Jaedenar##5155
9,Accept,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421,,,,,,,"","",accept The Corruption of the Jadefire##4421
10,Accept,5156,Verifying the Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=5156,,,,,,,"","",accept Verifying the Corruption##5156
11,Do,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460,,,,,,,"","",Do: Timbermaw Ally
12,Text,,,Felwood,,,,,Grind 4-5 Bars on the Furbolgs here,https://classic.wowhead.com/quest=,,,,,,,"","",Grind 4-5 Bars on the Furbolgs here
13,TurnIn,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460,,,,,,,"","",turnin Timbermaw Ally##8460
14,Accept,8462,Speak to Nafien,Felwood,,,,,,https://classic.wowhead.com/quest=8462,,,,,,,"","",accept Speak to Nafien##8462
15,Do,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421,,,,,,,"","",Do: The Corruption of the Jadefire
16,Text,,,Felwood,,,,,Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond,https://classic.wowhead.com/quest=,,,,,,,"","",Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond
17,Do,5155,Forces of Jaedenar,Felwood,,,,,,https://classic.wowhead.com/quest=5155,,,,,,,"","",Do: Forces of Jaedenar
18,Text,,,Felwood,,,,,Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond,https://classic.wowhead.com/quest=,,,,,,,"","",Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond
19,TurnIn,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421,,,,,,,"","",turnin The Corruption of the Jadefire##4421
20,Accept,4906,Further Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=4906,,,,,,,"","",accept Further Corruption##4906
