row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Fly,,,Feralas,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Feralas
7,Accept,7733,Improved Quality,Feralas,,,,,,https://classic.wowhead.com/quest=7733,,,,,,,"","",accept Improved Quality##7733
8,Accept,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879,,,,,,,"","",accept The Stave of Equinex##2879
9,TurnIn,2943,Return to Troyas,Feralas,,,,,,https://classic.wowhead.com/quest=2943,,,,,,,"","",turnin Return to Troyas##2943
10,TurnIn,4142,A Visit to Gregan,Feralas,,,,,,https://classic.wowhead.com/quest=4142,,,,,,,"","",turnin A Visit to Gregan##4142
11,Accept,2844,The Giant Guardian,Feralas,,,,,,https://classic.wowhead.com/quest=2844,,,,,,,"","",accept The Giant Guardian##2844
12,Do,3909,The Videre Elixir,Feralas,,,,,,https://classic.wowhead.com/quest=3909,,,,,,,"","",Do: The Videre Elixir
13,Text,,,Feralas,,,,,You can actually trick-jump in the back.,https://classic.wowhead.com/quest=,,,,,,,"","",You can actually trick-jump in the back.
14,Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879,,,,,,,"","",Do: The Stave of Equinex
15,Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879,,,,,,,"","",Do: The Stave of Equinex
16,TurnIn,2844,The Giant Guardian,Feralas,,,,,,https://classic.wowhead.com/quest=2844,,,,,,,"","",turnin The Giant Guardian##2844
17,Text,,,Feralas,,,,,"The follow quest is a really annoying escort, I skip it usually.",https://classic.wowhead.com/quest=,,,,,,,"","","The follow quest is a really annoying escort, I skip it usually."
18,Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879,,,,,,,"","",Do: The Stave of Equinex
19,Text,2879,The Stave of Equinex,Feralas,,,,,Use the Stave in your Inventory,https://classic.wowhead.com/quest=2879,,,,,,,"","",Use the Stave in your Inventory
20,TurnIn,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879,,,,,,,"","",turnin The Stave of Equinex##2879
21,Accept,2942,The Morrow Stone,Feralas,,,,,,https://classic.wowhead.com/quest=2942,,,,,,,"","",accept The Morrow Stone##2942
22,TurnIn,3909,The Videre Elixir,Feralas,,,,,,https://classic.wowhead.com/quest=3909,,,,,,,"","",turnin The Videre Elixir##3909
