row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Fly,,,Winterspring,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Winterspring
7,Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082,,,,,,,"","",Do: Threat of the Winterfall |q 5082
8,Do,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241,,,,,,,"","",Do: Winterfall Activity |q 6241
9,Text,,,Winterspring,,,,,Farm on the furbolgs to the north till [XP54],https://classic.wowhead.com/quest=,,,,,,,"","",Farm on the furbolgs to the north till [XP54]
10,Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082,,,,,,,"","",Do: Threat of the Winterfall |q 5082
11,Do,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241,,,,,,,"","",Do: Winterfall Activity |q 6241
12,Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082,,,,,,,"","",Do: Threat of the Winterfall |q 5082
13,Accept,5083,Winterfall Firewater,Winterspring,,,,,,https://classic.wowhead.com/quest=5083,,,,,,,"","",accept Winterfall Firewater##5083
14,TurnIn,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082,,,,,,,"","",turnin Threat of the Winterfall##5082
15,TurnIn,5083,Winterfall Firewater,Winterspring,,,,,,https://classic.wowhead.com/quest=5083,,,,,,,"","",turnin Winterfall Firewater##5083
16,TurnIn,980,The New Springs,Winterspring,,,,,,https://classic.wowhead.com/quest=980,,,,,,,"","",turnin The New Springs##980
17,Accept,5084,Falling to Corruption,Winterspring,,,,,,https://classic.wowhead.com/quest=5084,,,,,,,"","",accept Falling to Corruption##5084
18,Accept,4842,Strange Sources,Winterspring,,,,,,https://classic.wowhead.com/quest=4842,,,,,,,"","",accept Strange Sources##4842
19,Do,978,Moontouched Wildkin,Winterspring,,,,,,https://classic.wowhead.com/quest=978,,,,,,,"","",Do: Moontouched Wildkin |q 978
20,TurnIn,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241,,,,,,,"","",turnin Winterfall Activity##6241
21,TurnIn,5084,Falling to Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=5084,,,,,,,"","",turnin Falling to Corruption##5084
22,Accept,5085,Mystery Goo,Felwood,,,,,,https://classic.wowhead.com/quest=5085,,,,,,,"","",accept Mystery Goo##5085
