row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,3823,Extinguish the Firegut,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3823,,,,,,,"","",accept Extinguish the Firegut##3823
7,Accept,4283,FIFTY! YEP!,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4283,,,,,,,"","",accept FIFTY! YEP!##4283
8,AcceptOptional,4182,Dragonkin Menace,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4182,,,,,,,"","",
9,Accept,4726,Broodling Essence,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4726,,,,,,,"","",accept Broodling Essence##4726
10,Accept,4296,Tablet of the Seven,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4296,,,,,,,"","",accept Tablet of the Seven##4296
11,Do,3701,The Smoldering Ruins of Thaurissan,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3701,,,,,,,"","",Do: The Smoldering Ruins of Thaurissan
12,Do,4296,Tablet of the Seven,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4296,,,,,,,"","",Do: Tablet of the Seven
13,Do,3823,Extinguish the Firegut,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3823,,,,,,,"","",Do: Extinguish the Firegut
14,Do,4726,Broodling Essence,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4726,,,,,,,"","",Do: Broodling Essence
15,DoOptional,4182,Dragonkin Menace,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4182,,,,,,,"","",Do (Optional): Dragonkin Menace
16,AcceptOptional,4023,A Taste of Flame,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4023,,,,,,,"","",
17,TurnInOptional,4023,A Taste of Flame,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4023,,,,,,,"","",
18,TurnIn,4726,Broodling Essence,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4726,,,,,,,"","",turnin Broodling Essence##4726
19,TurnIn,4296,Tablet of the Seven,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4296,,,,,,,"","",turnin Tablet of the Seven##4296
20,TurnIn,3823,Extinguish the Firegut,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3823,,,,,,,"","",turnin Extinguish the Firegut##3823
21,Accept,3824,Gor'tesh the Brute Lord,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3824,,,,,,,"","",accept Gor'tesh the Brute Lord##3824
22,TurnInOptional,4182,Dragonkin Menace,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4182,,,,,,,"","",
23,AcceptOptional,4183,The True Masters,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4183,,,,,,,"","",
24,Do,3824,Gor'tesh the Brute Lord,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3824,,,,,,,"","",Do: Gor'tesh the Brute Lord
25,Do,4283,FIFTY! YEP!,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4283,,,,,,,"","",Do: FIFTY! YEP!
26,TurnIn,4283,FIFTY! YEP!,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4283,,,,,,,"","",turnin FIFTY! YEP!##4283
27,TurnIn,3824,Gor'tesh the Brute Lord,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3824,,,,,,,"","",turnin Gor'tesh the Brute Lord##3824
28,Fly,,,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Redridge Mountains
29,TurnInOptional,4183,The True Masters,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=4183,,,,,,,"","",
30,AcceptOptional,4184,The True Masters,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=4184,,,,,,,"","",
31,Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Stormwind City
32,TurnInOptional,4184,The True Masters,Stormwind City,,,,,,https://classic.wowhead.com/quest=4184,,,,,,,"","",
33,AcceptOptional,4185,The True Masters,Stormwind City,,,,,,https://classic.wowhead.com/quest=4185,,,,,,,"","",
34,DoOptional,4185,The True Masters,Stormwind City,,,,,,https://classic.wowhead.com/quest=4185,,,,,,,"","",Do (Optional): The True Masters
35,TurnInOptional,4185,The True Masters,Stormwind City,,,,,,https://classic.wowhead.com/quest=4185,,,,,,,"","",
36,AcceptOptional,4186,The True Masters,Stormwind City,,,,,,https://classic.wowhead.com/quest=4186,,,,,,,"","",
37,AcceptOptional,6182,The First and the Last,Stormwind City,,,,,,https://classic.wowhead.com/quest=6182,,,,,,,"","",
38,TurnInOptional,6182,The First and the Last,Stormwind City,,,,,,https://classic.wowhead.com/quest=6182,,,,,,,"","",
39,AcceptOptional,6183,Honor the Dead,Stormwind City,,,,,,https://classic.wowhead.com/quest=6183,,,,,,,"","",
40,TurnInOptional,6183,Honor the Dead,Stormwind City,,,,,,https://classic.wowhead.com/quest=6183,,,,,,,"","",
41,AcceptOptional,6184,Flint Shadowmore,Stormwind City,,,,,,https://classic.wowhead.com/quest=6184,,,,,,,"","",
42,Accept,5066,A Call to Arms: The Plaguelands!,Stormwind City,,,,,,https://classic.wowhead.com/quest=5066,,,,,,,"","",accept A Call to Arms: The Plaguelands!##5066
