row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Fly,,,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=,,,,,,,"","",fpath Western Plaguelands
7,TurnIn,5066,A Call to Arms: The Plaguelands!,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5066,,,,,,,"","",turnin A Call to Arms: The Plaguelands!##5066
8,Accept,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092,,,,,,,"","",accept Clear the Way##5092
9,TurnIn,6028,The Everlook Report,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6028,,,,,,,"","",turnin The Everlook Report##6028
10,TurnIn,5401,Argent Dawn Commission,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5401,,,,,,,"","",turnin Argent Dawn Commission##5401
11,TurnIn,6184,Flint Shadowmore,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6184,,,,,,,"","",turnin Flint Shadowmore##6184
12,Accept,6185,The Eastern Plagues,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6185,,,,,,,"","",accept The Eastern Plagues##6185
13,Do,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092,,,,,,,"","",Do: Clear the Way |q 5092
14,TurnIn,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092,,,,,,,"","",turnin Clear the Way##5092
15,Accept,5097,All Along the Watchtowers,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097,,,,,,,"","",accept All Along the Watchtowers##5097
16,Accept,5215,The Scourge Cauldrons,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5215,,,,,,,"","",accept The Scourge Cauldrons##5215
17,TurnIn,5215,The Scourge Cauldrons,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5215,,,,,,,"","",turnin The Scourge Cauldrons##5215
18,Accept,5216,Target: Felstone Field,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5216,,,,,,,"","",accept Target: Felstone Field##5216
19,Do,5097,All Along the Watchtowers,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097,,,,,,,"","",Do: All Along the Watchtowers |q 5097
20,Do,5097,TODO: Add specific questparts,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097,,,,,,,"","",Do: TODO: Add specific questparts |q 5097
21,TurnIn,5216,Target: Felstone Field,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5216,,,,,,,"","",turnin Target: Felstone Field##5216
