row_id,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,formatted_text
0,,,,,,,,,,,,,,,,,"","",""
1,,,,,,,,,,,,,,,,,"","",""
2,,,,,,,,,,,,,,,,,"","",""
3,,,,,,,,,,,,,,,,,"","",""
4,,,,,,,,,,,,,,,,,"","",""
5,,,,,,,,,,,,,,,,,"","",""
6,Accept,5542,Demon Dogs,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5542,,,,,,,"","",accept Demon Dogs##5542
7,Accept,5544,Carrion Grubbage,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5544,,,,,,,"","",accept Carrion Grubbage##5544
8,Accept,5543,Blood Tinged Skies,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5543,,,,,,,"","",accept Blood Tinged Skies##5543
9,Text,,,Eastern Plaguelands,,,,,Do the 3 quests on the side now,https://classic.wowhead.com/quest=,,,,,,,"","",Do the 3 quests on the side now
10,TurnIn,5601,Sister Pamela,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5601,,,,,,,"","",turnin Sister Pamela##5601
11,Accept,5149,Pamela's Doll,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149,,,,,,,"","",accept Pamela's Doll##5149
12,Do,5149,Pamela's Doll,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149,,,,,,,"","",Do: Pamela's Doll
13,TurnIn,5149,Pamela's Doll,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5149,,,,,,,"","",turnin Pamela's Doll##5149
14,Accept,5152,Auntie Marlene,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5152,,,,,,,"","",accept Auntie Marlene##5152
15,Accept,5241,Uncle Carlin,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5241,,,,,,,"","",accept Uncle Carlin##5241
16,TurnIn,6030,Duke Nicholas Zverenhoff,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6030,,,,,,,"","",turnin Duke Nicholas Zverenhoff##6030
17,TurnIn,5241,Uncle Carlin,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5241,,,,,,,"","",turnin Uncle Carlin##5241
18,Accept,5211,Defenders of Darrowshire,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5211,,,,,,,"","",accept Defenders of Darrowshire##5211
19,Accept,6021,Zaeldarr the Outcast,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=6021,,,,,,,"","",accept Zaeldarr the Outcast##6021
