row_id,Action,ID,QuestName,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,,,,"","",,""
1,,,,,,,,,,,,,,,,"","",,""
2,,,,,,,,,,,,,,,,"","",,""
3,,,,,,,,,,,,,,,,"","",,""
4,,,,,,,,,,,,,,,,"","",,""
5,Accept,60,Kobold Candles,Elwynn Forest,,,,,https://classic.wowhead.com/quest=60,,,,,,,"","",,accept Kobold Candles##60
6,Hearthstone,,,Elwynn Forest,"43.8,65.8",,,,https://classic.wowhead.com/quest=,,,,"shape: (2,)
Series: '' [str]
[
	""43.8""
	""65.8""
]",43.8,65.8,"","",,home Elwynn Forest
7,TurnIn,2158,Rest and Relaxation,Elwynn Forest,,,,,https://classic.wowhead.com/quest=2158,,,,,,,"","",,turnin Rest and Relaxation##2158
8,TurnIn,54,Report to Goldshire,Elwynn Forest,,,,,https://classic.wowhead.com/quest=54,,,,,,,"","",,turnin Report to Goldshire##54
9,Accept,62,The Fargodeep Mine,Elwynn Forest,,,,,https://classic.wowhead.com/quest=62,,,,,,,"","",,accept The Fargodeep Mine##62
10,Accept,47,Gold Dust Exchange,Elwynn Forest,,,,,https://classic.wowhead.com/quest=47,,,,,,,"","",,accept Gold Dust Exchange##47
11,Text,,,Elwynn Forest,,,,Kill all Boars(especially good on the fields you will go to) for 4x Chunk of Boar Meat,https://classic.wowhead.com/quest=,,,,,,,"","",,Kill all Boars(especially good on the fields you will go to) for 4x Chunk of Boar Meat
12,Accept,106,Young Lovers,Elwynn Forest,,,,,https://classic.wowhead.com/quest=106,,,,,,,"","",,accept Young Lovers##106
13,Text,,,,,,,"Well be crossing the Kobold mine 4 times now->Kill 2-3 Kobolds each time you do, to get some quest items already.",https://classic.wowhead.com/quest=,,,,,,,"","",,"Well be crossing the Kobold mine 4 times now->Kill 2-3 Kobolds each time you do, to get some quest items already."
14,Accept,88,Princess Must Die!,Elwynn Forest,,,,,https://classic.wowhead.com/quest=88,,,,,,,"","",,accept Princess Must Die!##88
15,Accept,85,Lost Necklace,Elwynn Forest,,,,,https://classic.wowhead.com/quest=85,,,,,,,"","",,accept Lost Necklace##85
16,TurnIn,106,Young Lovers,Elwynn Forest,,,,,https://classic.wowhead.com/quest=106,,,,,,,"","",,turnin Young Lovers##106
17,Accept,111,Speak with Gramma,Elwynn Forest,,,,,https://classic.wowhead.com/quest=111,,,,,,,"","",,accept Speak with Gramma##111
18,TurnIn,111,Speak with Gramma,Elwynn Forest,,,,,https://classic.wowhead.com/quest=111,,,,,,,"","",,turnin Speak with Gramma##111
19,Accept,107,Note to William,Elwynn Forest,,,,,https://classic.wowhead.com/quest=107,,,,,,,"","",,accept Note to William##107
