row_id,Action,ID,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,QuestName,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,"",,,,"","",,""
1,,,,,,,,,,,,"",,,,"","",,""
2,,,,,,,,,,,,"",,,,"","",,""
3,,,,,,,,,,,,"",,,,"","",,""
4,,,,,,,,,,,,"",,,,"","",,""
5,,,,,,,,,,,,"",,,,"","",,""
6,Text,,,,,,"Go through the tunnel, afterwards kill EVERY boar on your way to the tavern!",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"Go through the tunnel, afterwards kill EVERY boar on your way to the tavern!"
7,TurnIn,420,,,,,,https://classic.wowhead.com/quest=420,,,,"",,,,"","",,turnin ##420
8,Hearthstone,,Dun Morogh,"47.4,52.5",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""47.4""
	""52.5""
]",47.4,52.5,"","",,home Dun Morogh
9,TurnIn,2160,,,,,,https://classic.wowhead.com/quest=2160,,,,"",,,,"","",,turnin ##2160
10,Accept,400,Dun Morogh,,,,,https://classic.wowhead.com/quest=400,,,,"",,,,"","",,accept ##400
11,Accept,317,Dun Morogh,,,,,https://classic.wowhead.com/quest=317,,,,"",,,,"","",,accept ##317
12,Accept,313,Dun Morogh,,,,,https://classic.wowhead.com/quest=313,,,,"",,,,"","",,accept ##313
13,Accept,5541,Dun Morogh,,,,,https://classic.wowhead.com/quest=5541,,,,"",,,,"","",,accept ##5541
14,TurnIn,400,Dun Morogh,,,,,https://classic.wowhead.com/quest=400,,,,"",,,,"","",,turnin ##400
15,Text,,,,,,"Stocking Jetsteam is your NR 1 Priority now, GO OUT OF YOUR WAY to kill bears and boars!",https://classic.wowhead.com/quest=,,,,"",,,,"","",,"Stocking Jetsteam is your NR 1 Priority now, GO OUT OF YOUR WAY to kill bears and boars!"
16,Do,313,Dun Morogh,,,,,https://classic.wowhead.com/quest=313,,,,"",,,,"","",,Do: 
17,Grind,,the yeti cave,,,7,,https://classic.wowhead.com/quest=,,,,"",,,,"","",,"Grind until level7
|ding 7"
18,Do,5541,,,,,,https://classic.wowhead.com/quest=5541,,,,"",,,,"","",,Do: 
19,Do,317,Dun Morogh,,,,,https://classic.wowhead.com/quest=317,,,,"",,,,"","",,Do: 
20,TurnIn,5541,Dun Morogh,,,,,https://classic.wowhead.com/quest=5541,,,,"",,,,"","",,turnin ##5541
21,Buy,,,,,,,https://classic.wowhead.com/quest=,2509,Ornate Blunderbuss,1,"",,,,"","",Hunter,
22,Collect,,,,,,,https://classic.wowhead.com/quest=,2886,Crag Boar Rib,6,"",,,,"","",,
23,Accept,287,Dun Morogh,,,,,https://classic.wowhead.com/quest=287,,,,"",,,,"","",,accept ##287
