row_id,Action,ID,Questname,Location,Coords,XP,Level,Text,WowHead,ItemID,ItemName,ItemAmount,QuestName,coords_split,X,Y,NpcName,NpcId,Class,formatted_text
0,,,,,,,,,,,,,"",,,,"","",,""
1,,,,,,,,,,,,,"",,,,"","",,""
2,,,,,,,,,,,,,"",,,,"","",,""
3,,,,,,,,,,,,,"",,,,"","",,""
4,Text,,,,,,,,,,,,"",,,,"","",,
5,AcceptOptional,314,Protecting the Herd,Dun Morogh,,,,,https://classic.wowhead.com/quest=314,,,,"",,,,"","",,
6,DoOptional,314,Protecting the Herd,Dun Morogh,,,,,https://classic.wowhead.com/quest=314,,,,"",,,,"","",,Do (Optional): 
7,TurnInOptional,314,Protecting the Herd,Dun Morogh,,,,,https://classic.wowhead.com/quest=314,,,,"",,,,"","",,
8,Accept,433,The Public Servant,Dun Morogh,,,,,https://classic.wowhead.com/quest=433,,,,"",,,,"","",,accept ##433
9,Accept,432,Those Blasted Troggs!,Dun Morogh,,,,,https://classic.wowhead.com/quest=432,,,,"",,,,"","",,accept ##432
10,Text,433,The Public Servant,Dun Morogh,,,,Do [QC433- ][QC432],https://classic.wowhead.com/quest=433,,,,"",,,,"","",,Do [QC433- ][QC432]
11,Text,,,Dun Morogh,,,,Farm till youre level[XP9+4500],https://classic.wowhead.com/quest=,,,,"",,,,"","",,Farm till youre level[XP9+4500]
12,TurnIn,432,Those Blasted Troggs!,Dun Morogh,,,,,https://classic.wowhead.com/quest=432,,,,"",,,,"","",,turnin ##432
13,TurnIn,433,The Public Servant,Dun Morogh,,,,,https://classic.wowhead.com/quest=433,,,,"",,,,"","",,turnin ##433
14,Accept,419,The Lost Pilot,Dun Morogh,,,,,https://classic.wowhead.com/quest=419,,,,"",,,,"","",,accept ##419
15,TurnIn,419,The Lost Pilot,Dun Morogh,,,,,https://classic.wowhead.com/quest=419,,,,"",,,,"","",,turnin ##419
16,Accept,417,A Pilot's Revenge,Dun Morogh,,,,,https://classic.wowhead.com/quest=417,,,,"",,,,"","",,accept ##417
17,Do,417,A Pilot's Revenge,Dun Morogh,,,,,https://classic.wowhead.com/quest=417,,,,"",,,,"","",,Do:  |q 417
18,TurnIn,417,A Pilot's Revenge,Dun Morogh,,,,,https://classic.wowhead.com/quest=417,,,,"",,,,"","",,turnin ##417
19,Run,,,Dun Morogh,"79.4, 49.9",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""79.4""
	"" 49.9""
]",79.4, 49.9,"","",,"Run to 79.4, 49.9 |goto Dun Morogh 79.4, 49.9"
20,Run,,,Dun Morogh,"80.4, 49.7",,,,https://classic.wowhead.com/quest=,,,,"","shape: (2,)
Series: '' [str]
[
	""80.4""
	"" 49.7""
]",80.4, 49.7,"","",,"Run to 80.4, 49.7 |goto Dun Morogh 80.4, 49.7"
